work_item,target,action,position,other,confidence,frequency
右イコライザーセンターシャフト嚙み込み切断取外し加工,,切断,右,イコライザーセンターシャフト嚙み込み取外し加工,60,1
戸当たりゴム取替一式（部品代込み）,ゴム,取替,,戸当たり一式（部品代込み）,80,1
リヤバンパー脱着取替一式,バンパー,脱着,,リヤ取替一式,80,1
アウトリガーハンドル腐食部分切断コーナー製作切替加工溶接,ハンドル,溶接,,アウトリガー腐食部分切断コーナー製作切替加工,80,1
メッキミラーカバー3枚脱着両面テープ貼替,ミラー,脱着,,メッキカバー3枚両面テープ貼替,80,1
ミラー3ケ付替え,ミラー,付替,,3ケえ,80,1
アーム取替,,取替,,アーム,40,1
NOXセンサーボルト折れ込み取外し,センサー,,外,NOXボルト折れ込み取し,60,1
左側バンパーフィニッシャー脱着,バンパー,脱着,左,側フィニッシャー,100,1
センターステー脱着曲がり直し,ステー,脱着,センター,曲がり直し,100,1
コンプレッサーマフラー脱着修正,,脱着,,コンプレッサーマフラー修正,40,1
マフラーステー2個制作取付加工,ステー,加工,,マフラー2個制作取付,80,1
左バンパーフィニッシャー脱着曲がり直し,バンパー,脱着,左,フィニッシャー曲がり直し,100,1
ナンバーボルト折れ込み修正,,修正,,ナンバーボルト折れ込み,40,1
左右ドアパネル鈑金,ドア,鈑金,左,右パネル,100,1
馬蹄フック取替17カ所,,取替,,馬蹄フック17カ所,40,1
敷ゴム貼替,ゴム,,,敷貼替,40,1
バンド2本取替,,取替,,バンド2本,40,1
左ミラーアーム取替一式,ミラー,取替,左,アーム一式,100,1
キャブサスペンション左右ショックアブソーバー取替,,取替,左,キャブサスペンション右ショックアブソーバー,60,1
マフラーカバーボルト折れ込み取外し,カバー,,外,マフラーボルト折れ込み取し,60,1
溶接ナット切断取替溶接,,取替,,溶接ナット切断溶接,40,1
センタービーム前側取付折れ込みボルト取替加工,,取替,前,センタービーム側取付折れ込みボルト加工,60,1
増し締め点検,,,,,0,1
バックカメラステー制作取付加工,ステー,加工,,バックカメラ制作取付,80,1
ボルト折れ込み切断取外し加工,,切断,外,ボルト折れ込み取し加工,60,1
カラー製作ロングボルト取付加工,,製作,,カラーロングボルト取付加工,40,1
右後ろサイドガード折損応急ステン穴掘りステー制作取付加工,ステー,加工,右,後ろサイドガード折損応急ステン穴掘り制作取付,100,1
ドライバーシート座面脱着,シート,脱着,,ドライバー座面,80,1
異音点検,,,,,0,1
チェンジロッド折損溶接,,溶接,,チェンジロッド折損,40,1
踏板脱着亀裂溶接,,脱着,,踏板亀裂溶接,40,1
踏板ステー折損溶接1ヶ所,ステー,溶接,,踏板折損1ヶ所,80,1
補強取付溶接３ヶ所,,溶接,,補強取付３ヶ所,40,1
ステー製作取付加工1ヶ所,ステー,製作,,取付加工1ヶ所,80,1
クラッチペダルカバー取替,カバー,取替,,クラッチペダル,80,1
左中央床板破損部応急張替加工,,加工,左,中央床板破損部応急張替,60,1
リヤステップ製作取付,ステップ,製作,,リヤ取付,80,1
スケットスプリング4ケ取替調整,,取替,,スケットスプリング4ケ調整,40,1
バックカメラブラケット制作取付加工,ブラケット,加工,,バックカメラ制作取付,80,1
ナンバー枠修正,,修正,,ナンバー枠,40,1
エアーコネクター取替,,取替,,エアーコネクター,40,1
コネクタースイッチ調整,,調整,,コネクタースイッチ,40,1
リヤ左右大型反射板取替,反射板,取替,左,リヤ右大型,100,1
左ステー2個制作取付加工,ステー,加工,左,2個制作取付,100,1
右テールランプブラケット,ランプ,,右,テールブラケット,60,1
突っ張り棒取替,,取替,,突っ張り棒,40,1
燃料タンクバンド4本切断取替,タンク,取替,,燃料バンド4本切断,80,1
カプラーワイヤー取替,,取替,,カプラーワイヤー,40,1
左サイドガードASSY,ガード,,左,サイドASSY,60,1
燃料タンク渡りコック取替,タンク,取替,,燃料渡りコック,80,1
左右リヤ煽りドアスケット取替,ドア,取替,左,右リヤ煽りスケット,100,1
右煽りセンタースロットル取替,,取替,右,煽りセンタースロットル,60,1
ボルト嚙み込み切断取外し加工,,切断,外,ボルト嚙み込み取し加工,60,1
折れ込みボルト嚙み込み点検,,,,,0,1
ウィング後ろ側左右蝶番ブラケット破損部修正取付加工溶接,ブラケット,溶接,左,ウィング後ろ側右蝶番破損部修正取付加工,100,1
右前煽りドアー分解取替加工,ドア,取替,右,前煽りー分解加工,100,1
スケット脱着,,脱着,,スケット,40,1
左煽りドアースケット調整２個取替,ドア,取替,左,煽りースケット調整２個,100,1
ボルト嚙み込み穴掘り切断分解取外し加工,,切断,外,ボルト嚙み込み穴掘り分解取し加工,60,1
パイプ穴埋め溶接,パイプ,溶接,,穴埋め,80,1
左右スケット２個取替,,取替,左,右スケット２個,60,1
右ウィング枠骨下側切断切替加工溶接,ウィング,溶接,右,枠骨下側切断切替加工,100,1
前側キャッチブラケット切断鈑金リブ制作溶接,ブラケット,溶接,前,側キャッチ切断鈑金リブ制作,100,1
センターステー切断修正溶接,ステー,溶接,センター,切断修正,100,1
後ろキャッチブラケット曲がり直し,ブラケット,直し,後,ろキャッチ曲がり,100,1
左持込スケット２個取替,,取替,左,持込スケット２個,60,1
シーム取替加工,,取替,,シーム加工,40,1
アンダーステー鈑金,ステー,鈑金,,アンダー,80,1
センターステー脱着鈑金,ステー,脱着,センター,鈑金,100,1
バックランプステー製作取付溶接,ランプ,溶接,,バックステー製作取付,80,1
ウィング枠前後左右4ヶ所蝶番ブラケット取替加工,ブラケット,取替,左,ウィング枠前後右4ヶ所蝶番加工,100,1
右前サイドガードステー修正,ステー,修正,右,前サイドガード,100,1
ライニング張替12個,,張替,,ライニング12個,40,1
社外品燃料タンクバンド製作取替加工,タンク,取替,外,社品燃料バンド製作加工,100,1
右前セイコーラック取外し,,,右,前セイコーラック取外し,20,1
穴埋めテープ貼付,,,,,0,1
フロントキャブショック左右取替,,取替,左,フロントキャブショック右,60,1
左右煽りドアスケット4個取替,ドア,取替,左,右煽りスケット4個,100,1
右ウェザーストリップ取替,,取替,右,ウェザーストリップ,60,1
左右ウィングインターロックスイッチステー脱着,ステー,脱着,左,右ウィングインターロックスイッチ,100,1
シーム製作取付調整,,調整,,シーム製作取付,40,1
右サイドガードステー折損修正リブ製作取付溶接,ステー,溶接,右,サイドガード折損修正リブ製作取付,100,1
穴掘りボルト止め加工,,加工,,穴掘りボルト止め,40,1
左スケット脱着,,脱着,左,スケット,60,1
アーム分解曲がり直し鈑金,,直し,,アーム分解曲がり鈑金,40,1
リッドウェザーストリップゴム取替,ゴム,取替,,リッドウェザーストリップ,80,1
ウィンドシールドロアパネル修正,パネル,修正,ロア,ウィンドシールド,100,1
テープ取外し仕上げ,,仕上げ,上,テープ取外し仕げ,60,1
左センタースロットル取替,,取替,左,センタースロットル,60,1
支柱取付,,取付,,支柱,40,1
キャッチ取付,キャッチ,取付,,,80,1
左右煽りドアスケット調整,ドア,調整,左,右煽りスケット,100,1
ドアヒンジ取替,ドア,取替,,ヒンジ,80,1
左右サイドガード折損補強取付溶接5カ所,ガード,溶接,左,右サイド折損補強取付5カ所,100,1
右サイドガードステー修正,ステー,修正,右,サイドガード,100,1
左右ドアー曲がり直し,ドア,直し,左,右ー曲がり,100,1
前センタービーム修正,,修正,前,センタービーム,60,1
取付ボルト2本切断取替,,取替,,取付ボルト2本切断,40,1
2本取り付け,,取り付け,,2本,40,1
左右スケット取付2個,,取付,左,右スケット2個,60,1
カプラーアース取付,,取付,,カプラーアース,40,1
左煽りドアスケット取替,ドア,取替,左,煽りスケット,100,1
煽りスケット1個取替,,取替,,煽りスケット1個,40,1
フロントバンパーグリル取替,バンパー,取替,フロント,グリル,100,1
テールパイプマフラー腐食部分切断パイプ切替加工溶接,パイプ,溶接,,テールマフラー腐食部分切断パイプ切替加工,80,1
リヤバンパー左右カバー制作取付加工溶接,バンパー,溶接,左,リヤ右カバー制作取付加工,100,1
左右ボデーボルトブラケット取替,ブラケット,取替,左,右ボデーボルト,100,1
左右観音扉持ち込みフック取付加工,,加工,左,右観音扉持ち込みフック取付,60,1
(5㎜リベット8本込み),,,,,0,1
ウィングシリンダー前後左右点検,ウィング,,左,シリンダー前後右点検,60,1
煽りフック取替,,取替,,煽りフック,40,1
アンダーブラケット脱着,ブラケット,脱着,,アンダー,80,1
荷台歩み板曲がり直し,,直し,,荷台歩み板曲がり,40,1
蝶番鈑金溶接,,溶接,,蝶番鈑金,40,1
ウィング左前リベット打ち替え,ウィング,,左,前リベット打ち替え,60,1
幌骨曲がり直し,,直し,,幌骨曲がり,40,1
ロープフックステンパイプ取付ステン溶接,パイプ,溶接,,ロープフックステン取付ステン,80,1
テールパイプ取替10㎜ロングボルト取替加工 (ボルト代込み）,パイプ,取替,,テール10㎜ロングボルト取替加工 (ボルト代込み）,80,1
左キャスティング取替,,取替,左,キャスティング,60,1
マーカーブラケット取付加工,ブラケット,加工,,マーカー取付,80,1
左ウィングインターロックスイッチ脱着,ウィング,脱着,左,インターロックスイッチ,100,1
ウィング左ウェザーストリップゴム貼付,ゴム,,左,ウィングウェザーストリップ貼付,60,1
左中柱キャッチ修正切断溶接,キャッチ,溶接,左,中柱修正切断,100,1
左右ウィング中板,ウィング,,左,右中板,60,1
左右ラッシングレール,レール,,左,右ラッシング,60,1
インナーボード取替加工,,取替,インナー,ボード加工,60,1
左右煽りドア折損修正補強取付溶接修理,ドア,修理,左,右煽り折損修正補強取付溶接,100,1
右前枕木取替加工,,取替,右,前枕木加工,60,1
床板破損部分応急張替加工,,加工,,床板破損部分応急張替,40,1
ライニング張替16ヶ,,張替,,ライニング16ヶ,40,1
ライニング張替16ヶ（2台分）,,張替,,ライニング16ヶ（2台分）,40,1
燃料タンクバンド修正,タンク,修正,,燃料バンド,80,1
ロープフックボックス脱着リベット打ち替え,,脱着,,ロープフックボックスリベット打ち替え,40,1
開き止め取付,,取付,,開き止め,40,1
左サイドガード後ろステー折損修正溶接,ステー,溶接,左,サイドガード後ろ折損修正,100,1
サイドガード折損3本溶接,ガード,溶接,サイド,折損3本,100,1
2番ステー折損溶接,ステー,溶接,,2番折損,80,1
左右バックランプステー2本製作取付加工,ランプ,製作,左,右バックステー2本取付加工,100,1
左後ろ支柱曲がり直し,,直し,左,後ろ支柱曲がり,60,1
煽りドア開閉点検,ドア,,,煽り開閉点検,40,1
リヤナンバーブラケット切断修正加工溶接,ブラケット,溶接,,リヤナンバー切断修正加工,80,1
左バンパーフィニッシャー脱着鈑金,バンパー,脱着,左,フィニッシャー鈑金,100,1
インナーバンパー引出し,バンパー,引出し,インナー,,100,1
ライトステー鈑金,ライト,鈑金,,ステー,80,1
リヤ左右泥除けゴム取替加工,ゴム,取替,左,リヤ右泥除け加工,100,1
化粧板脱着曲がり直し,,脱着,,化粧板曲がり直し,40,1
煽り蝶番補強取付溶接,,溶接,,煽り蝶番補強取付,40,1
左サイドガード折損溶接2本,ガード,溶接,左,サイド折損2本,100,1
左サイドガード前ステー折損修正溶接,ステー,溶接,左,サイドガード前折損修正,100,1
ジャンパーホース1本取替,ホース,取替,,ジャンパー1本,80,1
煽りドアスケット4個増し締め点検,ドア,,,煽りスケット4個増し締め点検,40,1
ラッチ脱着曲がり直し,,脱着,,ラッチ曲がり直し,40,1
ロッド修正,,修正,,ロッド,40,1
煽りドアスケット4個点検,ドア,,,煽りスケット4個点検,40,1
フィニッシャー,フィニッシャー,,,,40,1
ハーネス脱着付替え,,脱着,,ハーネス付替え,40,1
ラッチASSY取替,,取替,,ラッチASSY,40,1
左3連テールランプ脱着加工,ランプ,脱着,左,3連テール加工,100,1
ブラケット脱着応急鈑金,ブラケット,脱着,,応急鈑金,80,1
タンクバンド1本脱着,タンク,脱着,,バンド1本,80,1
左ウィングスイッチボックス脱着,ウィング,脱着,左,スイッチボックス,100,1
ブラケット製作取り付け加工,ブラケット,製作,,取り付け加工,80,1
センター床鉄板取外し,,,外,センター床鉄板取し,20,1
右後ろウィングキャッチ取替,キャッチ,取替,右,後ろウィング,100,1
ウィング蝶番ボルト2本取り付け,ウィング,取り付け,,蝶番ボルト2本,80,1
蝶番グリスアップ点検,,,,,0,1
リヤゲート右上亀裂カットステン溶接,,溶接,右,リヤゲート上亀裂カットステン,60,1
補強作業,,,,,0,1
観音扉右側コンパネラック修正リベット打ち替え,,修正,右,観音扉側コンパネラックリベット打ち替え,60,1
ボルト破損４本応急取付加工(12㎜ボルトASSY４本込み）,,加工,,ボルト破損４本応急取付(12㎜ボルトASSY４本込み）,40,1
左サイドバンパー折損部15Aパイプ取付加工溶接2本,バンパー,溶接,左,サイド折損部15Aパイプ取付加工2本,100,1
フラッシャーステー取付,ステー,取付,,フラッシャー,80,1
左右ウィング後ろ蝶番ピン2本取替,ウィング,取替,左,右後ろ蝶番ピン2本,100,1
左右サイドバンパー折損補強取り付け溶接2ヶ所,バンパー,溶接,左,右サイド折損補強取り付け2ヶ所,100,1
左センタースロットルアーム脱着,,脱着,左,センタースロットルアーム,60,1
プレート制作取付加工,,加工,,プレート制作取付,40,1
ガイド脱着鈑金,,脱着,,ガイド鈑金,40,1
エアダム脱着,,脱着,,エアダム,40,1
左右荷台キャスターストッパー切断取外し,,切断,左,右荷台キャスターストッパー取外し,60,1
左右リヤ泥除けステー脱着,ステー,脱着,左,右リヤ泥除け,100,1
折損ステン溶接,,溶接,,折損ステン,40,1
躍場右縞鋼板,鋼板,,右,躍場縞,60,1
支柱ボルト2本取替加工,,取替,,支柱ボルト2本加工,40,1
下廻り養生,,,下,廻り養生,20,1
観音扉コンパネ積み降ろし,,,,,0,1
ハンドル取替,ハンドル,取替,,,80,1
ナンバー枠取替,,取替,,ナンバー枠,40,1
バンパー部品脱着修正,バンパー,脱着,,部品修正,80,1
左フィニシャー曲がり直し,,直し,左,フィニシャー曲がり,60,1
取付ステー曲がり直し,ステー,取付,,曲がり直し,80,1
他部品脱着修正,,脱着,,他部品修正,40,1
床鉄板張加工溶接,,溶接,,床鉄板張加工,40,1
リヤナンバー移設加工,,加工,,リヤナンバー移設,40,1
突っ張りステー製作取り付け加工,ステー,製作,,突っ張り取り付け加工,80,1
左サイドガード折損溶接4ヶ所,ガード,溶接,左,サイド折損4ヶ所,100,1
突っ張りステー1本10ミリボルト取付,ステー,取付,,突っ張り1本10ミリボルト,80,1
右後ろ煽りドアキャッチ受け2個脱着鈑金,ドア,脱着,右,後ろ煽りキャッチ受け2個鈑金,100,1
ボルト取替加工3本,,取替,,ボルト加工3本,40,1
脱落ボルト取付,,取付,,脱落ボルト,40,1
右サイドガード腐食部分2ヶ所20Aパイプ切替加工溶接,パイプ,溶接,右,サイドガード腐食部分2ヶ所20A切替加工,100,1
ルーフ雨漏れ点検,,,,,0,1
応急処置,,,,,0,1
リヤ観音扉左右コンパネ入れブラケット取り外し,ブラケット,取り外し,左,リヤ観音扉右コンパネ入れ,100,1
右ウィング中板4枚脱着,ウィング,脱着,右,中板4枚,100,1
アルミ接続カバー脱着切断取外し,カバー,脱着,外,アルミ接続切断取し,100,1
後ろステー折損部修正補強取付加工,ステー,加工,後,ろ折損部修正補強取付,100,1
取り付け部分引出し修正,,取り付け,,部分引出し修正,40,1
ドアー傷応急処置,ドア,,,ー傷応急処置,40,1
左リヤ反射板ステー塗装,ステー,塗装,左,リヤ反射板,100,1
右後ろウィングキャッチ受けステー脱着曲がり直し,ステー,脱着,右,後ろウィングキャッチ受け曲がり直し,100,1
踊場工具箱脱着,,脱着,,踊場工具箱,40,1
踊場左縞鋼板脱着,鋼板,脱着,左,踊場縞,100,1
ダンプ鋼板左右キャッチローラーブラケット嵩上げ加工溶接,ブラケット,溶接,左,ダンプ鋼板右キャッチローラー嵩上げ加工,100,1
ウィングキャッチプレート交換,キャッチ,交換,,ウィングプレート,80,1
ウィングキャッチプロテクター取付,キャッチ,取付,,ウィングプロテクター,80,1
床板左縞鋼板切断脱着修正溶接,鋼板,脱着,左,床板縞切断修正溶接,100,1
中板貼り付け加工,,加工,,中板貼り付け,40,1
縞鋼板浮き上がり止め加工,鋼板,加工,上,縞浮きがり止め,100,1
ドライバーシート可動レバー取付,シート,取付,,ドライバー可動レバー,80,1
左バンパーフィニシャー,バンパー,,左,フィニシャー,60,1
左コーナーキャッチ,キャッチ,,左,コーナー,60,1
キャッチ受け取替加工,キャッチ,取替,,受け加工,80,1
ウィングルーフ,ウィング,,,ルーフ,40,1
鳥居コーキング処理（材料込み）,,,,,0,1
踊場右縞鋼板脱着ボルト折れ込み取外し取替加工2本,鋼板,脱着,右,踊場縞ボルト折れ込み取外し取替加工2本,100,1
枠骨ボルト2本取付加工,,加工,,枠骨ボルト2本取付,40,1
バッテリーボックス床面腐食切断取替加工溶接,,取替,,バッテリーボックス床面腐食切断加工溶接,40,1
抑え込みボルト取替,,取替,,抑え込みボルト,40,1
左ウィング蝶番前2番脱着修正,ウィング,脱着,左,蝶番前2番修正,100,1
破損部分補強材制作取付加工,,加工,,破損部分補強材制作取付,40,1
シリンダー点検（左前シリンダーオイル漏れあり）,,,左,シリンダー点検（前シリンダーオイル漏れあり）,20,1
ウィングシリンダー点検,ウィング,,,シリンダー点検,40,1
幌破損部分補修テープ貼,,補修,,幌破損部分テープ貼,40,1
ウィング蝶番ボルト折損修理,ウィング,修理,,蝶番ボルト折損,80,1
床面4ヶ所破損部分床板張替加工(材料込み）,,加工,,床面4ヶ所破損部分床板張替(材料込み）,40,1
左右スケット調整4個,,調整,左,右スケット4個,60,1
左右サイドガード３ヶ所亀裂溶接,ガード,溶接,左,右サイド３ヶ所亀裂,100,1
煽り開閉補助装置点検,,,,,0,1
左サイドガード腐食部分３ヶ所パイプ切替加工溶接,パイプ,溶接,左,サイドガード腐食部分３ヶ所切替加工,100,1
4トン,,,,,0,1
8枚,,,,,0,1
ボルト化煮込み切断取替加工,,取替,,ボルト化煮込み切断加工,40,1
燃料タンク脱着点検,タンク,脱着,,燃料点検,80,1
右ドア中板折損部鈑金取付溶接,ドア,溶接,右,中板折損部鈑金取付,100,1
リヤキャブショック左右取替,,取替,左,リヤキャブショック右,60,1
踊場縞鋼板脱着,鋼板,脱着,,踊場縞,80,1
踊場縞鋼板全面増し締め点検,鋼板,,,踊場縞全面増し締め点検,40,1
折れ込みボルト2本取替加工,,取替,,折れ込みボルト2本加工,40,1
ワッシャー取付,,取付,,ワッシャー,40,1
左サイドガード引出し修正,ガード,修正,左,サイド引出し,100,1
ルーフ右後ろハザードレール鈑金,レール,鈑金,右,ルーフ後ろハザード,100,1
煽りドア幌骨パイプ入れ2本脱着,ドア,脱着,,煽り幌骨パイプ入れ2本,80,1
折損取付加工溶接,,溶接,,折損取付加工,40,1
ウィング応急雨漏れ修理,ウィング,修理,,応急雨漏れ,80,1
リヤ左右反射板取替,反射板,取替,左,リヤ右,100,1
荷台幌ロープ取付修理,,修理,,荷台幌ロープ取付,40,1
右スケット切断取替加工,,取替,右,スケット切断加工,60,1
左後ろウィングキャッチ取替,キャッチ,取替,左,後ろウィング,100,1
バンパーグリル脱着クリップ取替,バンパー,脱着,,グリルクリップ取替,80,1
エアコネクターボルト折れ込み修理,,修理,,エアコネクターボルト折れ込み,40,1
後ろ燃料タンク,タンク,,後,ろ燃料,60,1
フレーム修正,,修正,,フレーム,40,1
タンクバンド2本切断交換,タンク,交換,,バンド2本切断,80,1
左煽りドア開閉補助装置2個交換,ドア,交換,左,煽り開閉補助装置2個,100,1
ヒンジ左右交換,ヒンジ,交換,左,右,100,1
右サイドガードステー3本修正,ステー,修正,右,サイドガード3本,100,1
サイドガード折損部4ヶ所取り付け溶接,ガード,溶接,サイド,折損部4ヶ所取り付け,100,1
ダンプ床面破損部分３ヶ所切鉄板貼付加工溶接,,溶接,,ダンプ床面破損部分３ヶ所切鉄板貼付加工,40,1
左煽りドア表裏破損部分2ヶ所応急アルミ板貼付加工,ドア,加工,左,煽り表裏破損部分2ヶ所応急アルミ板貼付,100,1
サッシ,,,,,0,1
ランチャン交換,,交換,,ランチャン,40,1
差し込み口切断取替加工溶接,,取替,,差し込み口切断加工溶接,40,1
左カプラーガイド脱着,,脱着,左,カプラーガイド,60,1
曲がり直し鈑金,,直し,,曲がり鈑金,40,1
フレーム取付部曲がり直し,,取付,,フレーム部曲がり直し,40,1
右ウィングリターンスプリング折損切断,ウィング,切断,右,リターンスプリング折損,100,1
左右幌破損部分補修テープ貼り付け,,補修,左,右幌破損部分テープ貼り付け,60,1
ホースコック取り換え,ホース,,,コック取り換え,40,1
右フィニッシャー脱着フォグランプベゼル取り換え,ランプ,脱着,右,フィニッシャーフォグベゼル取り換え,100,1
カプラー滑り台脱着曲がり直し,,脱着,,カプラー滑り台曲がり直し,40,1
平和物流ライニング張替10枚,,張替,,平和物流ライニング10枚,40,1
折れ込みボルト切断,,切断,,折れ込みボルト,40,1
ナット溶接加工,,溶接,,ナット加工,40,1
右後ろ工具箱脱着,,脱着,右,後ろ工具箱,60,1
突っ張りステー2本腐食部分リブ入れ加工溶接,ステー,溶接,,突っ張り2本腐食部分リブ入れ加工,80,1
左右リヤ泥除けゴム取り換え加工,ゴム,加工,左,右リヤ泥除け取り換え,100,1
押えブラケット脱着,ブラケット,脱着,,押え,80,1
ダンプ鋼板捻じれ直し建付け調整,鋼板,調整,,ダンプ捻じれ直し建付け,80,1
左右支柱曲がり直し,,直し,左,右支柱曲がり,60,1
開き止め切断付替え加工,,切断,,開き止め付替え加工,40,1
ラジエター折れ込みボルト修理,,修理,,ラジエター折れ込みボルト,40,1
ストリップゴム付替え,ゴム,付替,,ストリップえ,80,1
右リヤフェンダー脱着鈑金,フェンダー,脱着,右,リヤ鈑金,100,1
右フェンダー脱着,フェンダー,脱着,右,,100,1
スケット交換,,交換,,スケット,40,1
三角リフレクター取付加工,,加工,,三角リフレクター取付,40,1
右ウィングシリンダー交換,ウィング,交換,右,シリンダー,100,1
サイドガード折損部加工溶接,ガード,溶接,サイド,折損部加工,100,1
左右スケット4個取外し,,,左,右スケット4個取外し,20,1
ステー取外し4ヶ所,ステー,,外,取し4ヶ所,60,1
カプラーワイヤー,,,,,0,1
ラック左ステー製作取替加工溶接,ステー,取替,左,ラック製作加工溶接,100,1
右後ろタイヤスタッドボルト折れ込み取り換え加工,タイヤ,加工,右,後ろスタッドボルト折れ込み取り換え,100,1
ブリッジ左右ショックアブソーバー2本交換,,交換,左,ブリッジ右ショックアブソーバー2本,60,1
左2軸ショックアブソーバー1本切断取り換え,,切断,左,2軸ショックアブソーバー1本取り換え,60,1
燃料移し替え,,,,,0,1
ボルト嚙み込み切断付替え加工,,切断,,ボルト嚙み込み付替え加工,40,1
コック付替え,,付替,,コックえ,40,1
ホース取替,ホース,取替,,,80,1
バンド切断交換,,交換,,バンド切断,40,1
ブラケットステー脱着,ステー,脱着,,ブラケット,80,1
ライニング錆落とし張替２枚,,張替,,ライニング錆落とし２枚,40,1
テールパイプ折損部パイプ制作取付加工溶接,パイプ,溶接,,テール折損部パイプ制作取付加工,80,1
タイコマフラー腐食部分パチ当て補修溶接,,溶接,,タイコマフラー腐食部分パチ当て補修,40,1
左前コンテナロックピン取付加工,,加工,左,前コンテナロックピン取付,60,1
右前ピンストッパー取付加工,,加工,右,前ピンストッパー取付,60,1
バンパーグリル交換,バンパー,交換,,グリル,80,1
リヤナンバーブラケット折損応急修理,ブラケット,修理,,リヤナンバー折損応急,80,1
左ウィング前後,ウィング,,左,前後,60,1
右ウィング後ろウェザーストリップゴム貼替加工,ゴム,加工,右,ウィング後ろウェザーストリップ貼替,100,1
ウィング左右３ヶ所ウェザーストリップゴム貼り付け,ゴム,,左,ウィング右３ヶ所ウェザーストリップ貼り付け,60,1
接着清掃,,,,,0,1
右前煽りキャッチ受けフック製作取付加工溶接,キャッチ,溶接,右,前煽り受けフック製作取付加工,100,1
左右大型反射板交換,反射板,交換,左,右大型,100,1
リヤバンパー反射板取り付け部錆落とし錆止め塗装,バンパー,塗装,,リヤ反射板取り付け部錆落とし錆止め,80,1
インタークーラーパイプ亀裂溶接,パイプ,溶接,,インタークーラー亀裂,80,1
サイドガード修正,ガード,修正,サイド,,100,1
鳥居荷掛け折損切断荷掛けブラケット製作取替加工溶接,ブラケット,取替,,鳥居荷掛け折損切断荷掛け製作加工溶接,80,1
右ドアー脱着ヒンジ2個交換,ドア,脱着,右,ーヒンジ2個交換,100,1
左右ボデーキャスターストッパー取付溶接,,溶接,左,右ボデーキャスターストッパー取付,60,1
ウィング幌骨腐食切断取替加工,ウィング,取替,,幌骨腐食切断加工,80,1
支柱腐食曲げ鋼板製作取付加工,鋼板,製作,,支柱腐食曲げ取付加工,80,1
蝶番製作取付,,製作,,蝶番取付,40,1
左煽りドア開閉補助装置2個調整,ドア,調整,左,煽り開閉補助装置2個,100,1
右ウィングウェザーストリップゴム清掃点検,ゴム,,右,ウィングウェザーストリップ清掃点検,60,1
右観音扉コンパネ入れ脱着,,脱着,右,観音扉コンパネ入れ,60,1
