work_item,target,action,position,other,confidence,frequency
左タイヤハウスカバー脱着修正,タイヤ,脱着,左,ハウスカバー修正,100,4
他付替え,,付替,,他え,40,4
右サイドガード脱着,ガード,脱着,右,サイド,100,4
左右反射板取替,反射板,取替,左,右,100,4
亀裂カット溶接,,溶接,,亀裂カット,40,4
リヤバンパー脱着,バンパー,脱着,,リヤ,80,4
前後ナンバーボルト脱着タップ掛け,,脱着,前,後ナンバーボルトタップ掛け,60,4
サイドアンダーミラー取替,ドア,取替,サイド,アンダーミラー,100,4
テールパイプ,パイプ,,,テール,40,4
コーキング加工,,加工,,コーキング,40,4
コーナーカバー取替,カバー,取替,,コーナー,80,4
燃料タンク取替,タンク,取替,,燃料,80,4
脱着,,脱着,,,40,4
左右ステー取替,ステー,取替,左,右,100,4
燃料抜き入れ,,,,,0,4
中間ホース取替,ホース,取替,,中間,80,4
全面タップ掛け,,,,,0,4
燃料抜き,,,,,0,4
作業灯ステー4個製作取付加工,ステー,製作,,作業灯4個取付加工,80,4
インナーバンパー取替,バンパー,取替,インナー,,100,4
右テールランプ脱着,ランプ,脱着,右,テール,100,4
反射板2枚取替,反射板,取替,,2枚,80,4
右ドアー内張脱着,ドア,脱着,右,ー内張,100,4
大型反射板取替,反射板,取替,,大型,80,4
化粧板脱着付替え,,脱着,,化粧板付替え,40,4
タンクバンド２本取替,タンク,取替,,バンド２本,80,4
ジャバラパイプ取替,パイプ,取替,,ジャバラ,80,4
ステー,ステー,,,,40,4
バンド2本,,,,,0,4
ラッチ交換,,交換,,ラッチ,40,4
燃料タンク交換,タンク,交換,,燃料,80,4
右フラッシャー,,,右,フラッシャー,20,4
バンパー,バンパー,,,,40,4
取替加工,,取替,,加工,40,4
ステー修正,ステー,修正,,,80,4
ライニング16枚張替,,張替,,ライニング16枚,40,4
アウトリガー突っ張り棒製作取替,,取替,,アウトリガー突っ張り棒製作,40,4
エンジン折れ込みボルト修理,,修理,,エンジン折れ込みボルト,40,4
エアードライヤー交換,,交換,,エアードライヤー,40,4
オイルミスト交換,,交換,,オイルミスト,40,4
左コーナーカバー,カバー,,左,コーナー,60,4
自重計取替,,取替,,自重計,40,4
左ミラーアーム,ミラー,,左,アーム,60,4
グリル,グリル,,,,40,4
反射板取替穴掘り加工,反射板,取替,,穴掘り加工,80,4
フラッシャー,,,,,0,4
左テールランプ脱着,ランプ,脱着,左,テール,100,4
エンドカバー,カバー,,,エンド,40,4
右メッキコーナーパネル取替,パネル,取替,右,メッキコーナー,100,4
右ヘッドライト取替,ライト,取替,右,ヘッド,100,4
ステー取替,ステー,取替,,,80,4
スプラッシュボード鈑金,,鈑金,,スプラッシュボード,40,4
タイヤハウスカバー脱着,タイヤ,脱着,,ハウスカバー,80,4
ナンバーブラケット溶接,ブラケット,溶接,,ナンバー,80,4
ドアー建付け調整,ドア,調整,,ー建付け,80,4
フェンダー,フェンダー,,,,40,4
アンダーカバー交換,カバー,交換,,アンダー,80,4
塗料,,,,,0,4
左セカンドステップ脱着,ステップ,脱着,左,セカンド,100,4
床枠塗装,,塗装,,床枠,40,4
スカッフプレート脱着,,脱着,,スカッフプレート,40,3
ウェザーストリップゴム取替,ゴム,取替,,ウェザーストリップ,80,3
タップ掛け,,,,,0,3
右前セイコーラック取替加工,,取替,右,前セイコーラック加工,60,3
リブ制作取付溶接3か所,,溶接,,リブ制作取付3か所,40,3
助手席,,,,,0,3
フロアーマット脱着,,脱着,ロア,フーマット,60,3
テールパイプ取替,パイプ,取替,,テール,80,3
右バンパーフィニッシャー取替,バンパー,取替,右,フィニッシャー,100,3
テールパイプ脱着,パイプ,脱着,,テール,80,3
煽りドアスケット調整,ドア,調整,,煽りスケット,80,3
床板前側破損部分張替加工,,加工,前,床板側破損部分張替,60,3
折損部修正取付溶接,,溶接,,折損部修正取付,40,3
バックカメラ中央移設加工,,加工,中央,バックカメラ移設,60,3
リヤステップバンパーASSY取替,バンパー,取替,,リヤステップASSY,80,3
枠骨曲がり直し,,直し,,枠骨曲がり,40,3
蝶番脱着曲がり直し,,脱着,,蝶番曲がり直し,40,3
亀裂ステン溶接,,溶接,,亀裂ステン,40,3
マウントブリッジ脱着,,脱着,,マウントブリッジ,40,3
格子蓋制作取付溶接2ヵ所,,溶接,,格子蓋制作取付2ヵ所,40,3
左ドアパネルASSY取替,ドア,取替,左,パネルASSY,100,3
ドアフラッシャー取替,ドア,取替,,フラッシャー,80,3
ミラー,ミラー,,,,40,3
サイドミラー,ミラー,,サイド,,60,3
ミラーアーム取替,ミラー,取替,,アーム,80,3
右ライトベゼル取替,ライト,取替,右,ベゼル,100,3
ボルト折れ込み取外し取替加工,,取替,外,ボルト折れ込み取し加工,60,3
左右リヤ泥除けゴム取替加工,ゴム,取替,左,右リヤ泥除け加工,100,3
右テールランプ,ランプ,,右,テール,60,3
ヒンジ,ヒンジ,,,,40,3
インナーバンパー引出し修正,バンパー,修正,インナー,引出し,100,3
UDマーク,,,,,0,3
カバー取付,カバー,取付,,,80,3
繋ぎホース取替,ホース,取替,,繋ぎ,80,3
ドライバーシート座面取替,シート,取替,,ドライバー座面,80,3
取付部分修正鈑金,,取付,,部分修正鈑金,40,3
左後ろ煽りドア取替,ドア,取替,左,後ろ煽り,100,3
右ドア建付け調整,ドア,調整,右,建付け,100,3
右フォグランプ,ランプ,,右,フォグ,60,3
工具箱脱着,,脱着,,工具箱,40,3
左ドアフラッシャー取替,ドア,取替,左,フラッシャー,100,3
ウィング雨漏れ点検,ウィング,,,雨漏れ点検,40,3
付替え加工,,加工,,付替え,40,3
燃料タンク点検,タンク,,,燃料点検,40,3
左右煽りドア開閉補助装置4個調整,ドア,調整,左,右煽り開閉補助装置4個,100,3
ステー脱着鈑金,ステー,脱着,,鈑金,80,3
ゲージ付替え,,付替,,ゲージえ,40,3
インナーバンパー引出し鈑金,バンパー,引出し,インナー,鈑金,100,3
ライニング張替12枚,,張替,,ライニング12枚,40,3
アーム交換,,交換,,アーム,40,3
アッパーフェンダー,フェンダー,,アッパー,,60,3
バックランプ交換,ランプ,交換,,バック,80,3
補強取付加工,,加工,,補強取付,40,3
嚙み込みボルト切断取替加工,,取替,,嚙み込みボルト切断加工,40,3
取付部修正,,取付,,部修正,40,3
右サイドガード折損溶接,ガード,溶接,右,サイド折損,100,3
フロントリッド嚙み込み修理,,修理,フロント,リッド嚙み込み,60,3
ブレーキライニング8枚張替,,張替,,ブレーキライニング8枚,40,3
右ドア鈑金,ドア,鈑金,右,,100,3
アンダーミラー交換,ミラー,交換,,アンダー,80,3
部品付替え,,付替,,部品え,40,3
取り付け部分鈑金,,取り付け,,部分鈑金,40,3
メイン燃料タンク,タンク,,,メイン燃料,40,3
ホース２本取替,ホース,取替,,２本,80,3
左右ヘッドライト,ライト,,左,右ヘッド,60,3
カプラースイッチ取り換え加工,,加工,,カプラースイッチ取り換え,40,3
フロントグリル,グリル,,フロント,,60,3
マッドガード脱着,ガード,脱着,,マッド,80,3
左サイドガード,ガード,,左,サイド,60,3
ステイ脱着曲がり直し,,脱着,,ステイ曲がり直し,40,3
ボルト折れ込み取り換え加工,,加工,,ボルト折れ込み取り換え,40,3
センター泥除けプレート脱着切断加工,,脱着,センター,泥除けプレート切断加工,60,3
ぺタックス2メートル,,,,,0,3
アッパーフェンダー修正,フェンダー,修正,アッパー,,100,3
右コーナーパネル交換,パネル,交換,右,コーナー,100,3
ピラー応急引出し,,引出し,,ピラー応急,40,3
取り付け部分曲がり直し,,取り付け,,部分曲がり直し,40,3
左タイヤハウスカバー,タイヤ,,左,ハウスカバー,60,3
キャッチ,キャッチ,,,,40,3
リヤナンバーブラケット脱着移設加工,ブラケット,脱着,,リヤナンバー移設加工,80,3
ロアフェンダー取替,フェンダー,取替,ロア,,100,3
ロアフェンダー取替修正,フェンダー,取替,ロア,修正,100,3
左右反射板プレート制作取付加工,反射板,加工,左,右プレート制作取付,100,3
セカンドステップ脱着,ステップ,脱着,,セカンド,80,3
ステイ交換,,交換,,ステイ,40,3
右セカンドステップ,ステップ,,右,セカンド,60,3
カバー脱着,カバー,脱着,,,80,3
右スカッフプレート,,,右,スカッフプレート,20,3
左ドアー応急曲がり直し,ドア,直し,左,ー応急曲がり,100,3
左バンパーフィニッシャー脱着,バンパー,脱着,左,フィニッシャー,100,3
フロアーパネル鈑金,パネル,鈑金,ロア,フー,100,3
ヒーターパイプ応急溶接,パイプ,溶接,,ヒーター応急,80,2
右サイドガード折損部修正取付溶接,ガード,溶接,右,サイド折損部修正取付,100,2
右ミラーアーム脱着,ミラー,脱着,右,アーム,100,2
右ドアー捻じれ直し,ドア,直し,右,ー捻じれ,100,2
ドアー蝶番脱着修正コーキング入替,ドア,脱着,,ー蝶番修正コーキング入替,80,2
サイドガードマフラーカバー曲がり直し,カバー,直し,サイド,ガードマフラー曲がり,100,2
バンパーグリル,バンパー,,,グリル,40,2
左右ファーストステップカバー,ステップ,,左,右ファーストカバー,60,2
左右コーナーバンパー,バンパー,,左,右コーナー,60,2
左右バンパーフィニッシャー脱着,バンパー,脱着,左,右フィニッシャー,100,2
左右フォグランプ取替,ランプ,取替,左,右フォグ,100,2
作業灯ステー4本製作取付加工,ステー,製作,,作業灯4本取付加工,80,2
アンダーカバー取替,カバー,取替,,アンダー,80,2
左アウトリガーランディングパット取替,,取替,左,アウトリガーランディングパット,60,2
折損パイプ取付溶接,パイプ,溶接,,折損取付,80,2
左サイド,,,左,サイド,20,2
リア内張脱着,,脱着,内,リア張,60,2
左カーテンレール,レール,,左,カーテン,60,2
シートベルト,シート,,,ベルト,40,2
ウォッシャータンク,タンク,,,ウォッシャー,40,2
ドアースイッチ脱着,ドア,脱着,,ースイッチ,80,2
ベット,,,,,0,2
踊場脱着,,脱着,,踊場,40,2
ステン泥除け枠折損部取付溶接,,溶接,,ステン泥除け枠折損部取付,40,2
フロントリッド取替,,取替,フロント,リッド,60,2
センター泥除けゴムブラケット取外し,ブラケット,,外,センター泥除けゴム取し,60,2
リヤバンパーステーボルト切断,バンパー,切断,,リヤステーボルト,80,2
左右バンパーステー取替,バンパー,取替,左,右ステー,100,2
リヤバンパー取替調整加工,バンパー,取替,,リヤ調整加工,80,2
フレーム清掃,,,,,0,2
フロントバンパー脱着,バンパー,脱着,フロント,,100,2
アーム,,,,,0,2
右反射板脱着曲がり直し,反射板,脱着,右,曲がり直し,100,2
マーカーランプ取り外しステー曲がり直し,ランプ,取り外し,外,マーカー取りしステー曲がり直し,100,2
リフレクターブラケット脱着修正,ブラケット,脱着,,リフレクター修正,80,2
メッキミラーカバー付替え加工,ミラー,加工,,メッキカバー付替え,80,2
左サイドガードパイプ腐食部分切替加工溶接,パイプ,溶接,左,サイドガード腐食部分切替加工,100,2
左観音扉コーナーカバー板金塗装,カバー,塗装,左,観音扉コーナー板金,100,2
右カプラーガイドブラケット脱着切断鈑金溶接,ブラケット,脱着,右,カプラーガイド切断鈑金溶接,100,2
ボルト,,,,,0,2
ボルト取替,,取替,,ボルト,40,2
キャスターストッパーアングル脱着,,脱着,,キャスターストッパーアングル,40,2
折れ込みボルト取替,,取替,,折れ込みボルト,40,2
ステン溶接切断取外し,,溶接,外,ステン切断取し,60,2
左右泥除けゴム取替加工２枚,ゴム,取替,左,右泥除け加工２枚,100,2
右スケットアーム脱着分解鈑金加工,,脱着,右,スケットアーム分解鈑金加工,60,2
亀裂溶接2カ所,,溶接,,亀裂2カ所,40,2
右リーフスプリングバンド折損部修正取付溶接,,溶接,右,リーフスプリングバンド折損部修正取付,60,2
オイルパン折れ込みボルト取外し,,,外,オイルパン折れ込みボルト取し,20,2
右サイドガード腐食部分15Aパイプ切替溶接3本,パイプ,溶接,右,サイドガード腐食部分15A切替3本,100,2
アーム穴掘り改造加工,,加工,,アーム穴掘り改造,40,2
右後ろスケットアーム取替加工,,取替,右,後ろスケットアーム加工,60,2
リヤ鋼板表裏亀裂カット溶接16カ所,鋼板,溶接,,リヤ表裏亀裂カット16カ所,80,2
工具箱ブラケット腐食ステー2本切断製作取替溶接,ステー,取替,,工具箱ブラケット腐食2本切断製作溶接,80,2
燃料抜き取り,,,,,0,2
タンクバンド切断切替加工溶接,タンク,溶接,,バンド切断切替加工,80,2
タンクブラケット応急曲がり直し,ブラケット,直し,,タンク応急曲がり,80,2
リヤ鋼板表裏亀裂カット溶接22カ所,鋼板,溶接,,リヤ表裏亀裂カット22カ所,80,2
右マッドガード,ガード,,右,マッド,60,2
マフラーカバー,カバー,,,マフラー,40,2
左キャスターストッパー切断取り外しコーキング入替加工,,切断,左,キャスターストッパー取り外しコーキング入替加工,60,2
8ミリボルト切断取替,,取替,,8ミリボルト切断,40,2
燃料タンクキャップパッキン取替2枚,タンク,取替,,燃料キャップパッキン2枚,80,2
キャップ締め口引出し修正,,修正,,キャップ締め口引出し,40,2
右メッキフィニッシャー取替,フィニッシャー,取替,右,メッキ,100,2
躍場脱着,,脱着,,躍場,40,2
フレーム穴掘り加工,,加工,,フレーム穴掘り,40,2
マッドガード,ガード,,,マッド,40,2
右サイドガード15Aパイプ1本取付溶接,パイプ,溶接,右,サイドガード15A1本取付,100,2
サイドガード,ガード,,サイド,,60,2
フレーム亀裂溶接4ヶ所,,溶接,,フレーム亀裂4ヶ所,40,2
プレマフラー脱着,,脱着,,プレマフラー,40,2
腐食ボルト切断取替加工,,取替,,腐食ボルト切断加工,40,2
ドライバーシートASSY取替,シート,取替,,ドライバーASSY,80,2
左右反射板取替加工,反射板,取替,左,右加工,100,2
躍場左縞鋼板脱着曲がり直し,鋼板,脱着,左,躍場縞曲がり直し,100,2
ボルト1本ステンナット取付,,取付,,ボルト1本ステンナット,40,2
左観音扉2カ所鈑金,,鈑金,左,観音扉2カ所,60,2
右後ろ泥除けゴム取替加工,ゴム,取替,右,後ろ泥除け加工,100,2
右付替え,,付替,右,え,60,2
ワイヤー引換,,,,,0,2
バンド1本取替,,取替,,バンド1本,40,2
ドアラッチ取替,ドア,取替,,ラッチ,80,2
取り外し,,取り外し,外,取りし,60,2
プラットホーム縞板脱着,,脱着,,プラットホーム縞板,40,2
中間エキゾーストパイプ脱着,パイプ,脱着,,中間エキゾースト,80,2
クッションゴム貼替接着,ゴム,,,クッション貼替接着,40,2
タイコマフラー脱着,,脱着,,タイコマフラー,40,2
ミラー取替一式,ミラー,取替,,一式,80,2
曲がり直し,,直し,,曲がり,40,2
フロント左右ショックアブソーバー取替,,取替,左,フロント右ショックアブソーバー,60,2
付替え,,付替,,え,40,2
左リヤフェンダー前側,フェンダー,,左,リヤ前側,60,2
左アーチゴム取替,ゴム,取替,左,アーチ,100,2
穴掘り付替え加工,,加工,,穴掘り付替え,40,2
左前煽りドアスケット取替,ドア,取替,左,前煽りスケット,100,2
竹箒入れ制作取付溶接,,溶接,,竹箒入れ制作取付,40,2
（材料込み）,,,,,0,2
ブラケット脱着,ブラケット,脱着,,,80,2
バックランプ脱着,ランプ,脱着,,バック,80,2
左右ステー曲がり直し,ステー,直し,左,右曲がり,100,2
竹箒入れ制作取付溶接塗装（材料込み）,,溶接,,竹箒入れ制作取付塗装（材料込み）,40,2
荷台亀裂切鉄板張り加工溶接,,溶接,,荷台亀裂切鉄板張り加工,40,2
アンダーミラー,ミラー,,,アンダー,40,2
左前スケット取替,,取替,左,前スケット,60,2
サイドガードステー脱着,ステー,脱着,サイド,ガード,100,2
燃料タンク2個脱着,タンク,脱着,,燃料2個,80,2
左ウィング中板全面脱着,ウィング,脱着,左,中板全面,100,2
ラッシングレール脱着,レール,脱着,,ラッシング,80,2
リベット打ち替え加工,,加工,,リベット打ち替え,40,2
センタースロットル脱着鈑金,,脱着,センター,スロットル鈑金,60,2
右バンパーフィニシャー取替,バンパー,取替,右,フィニシャー,100,2
リヤバンパー取替改装加工一式,バンパー,取替,,リヤ改装加工一式,80,2
蝶番グリスアップ,,,,,0,2
左踊場縞鋼板脱着,鋼板,脱着,左,踊場縞,100,2
フロントバンパー全面,バンパー,,フロント,全面,60,2
バンパーステップ取替,バンパー,取替,,ステップ,80,2
スッケト取替2個,,取替,,スッケト2個,40,2
ステー脱着点検,ステー,脱着,,点検,80,2
左右サイドガード折損部修正取付溶接4ヶ所,ガード,溶接,左,右サイド折損部修正取付4ヶ所,100,2
工具箱ステー折損部修正取付溶接,ステー,溶接,,工具箱折損部修正取付,80,2
架台右上下レール2㎝カット,レール,,右,架台上下2㎝カット,60,2
反射板脱着付替え,反射板,脱着,,付替え,80,2
バイザー取替,,取替,,バイザー,40,2
ステー左右取替,ステー,取替,左,右,100,2
左フロントフェンダーマッドガード取替,フェンダー,取替,左,フロントマッドガード,100,2
左前持込スケット取替加工,,取替,左,前持込スケット加工,60,2
右後ろ煽りドア亀裂カット修正,ドア,修正,右,後ろ煽り亀裂カット,100,2
アルミ溶接仕上,,溶接,上,アルミ仕,60,2
左右後ろ煽りドア開閉点検,ドア,,左,右後ろ煽り開閉点検,60,2
右前後スケット調整,,調整,右,前後スケット,60,2
左右フロントマッドガードゴム取替加工,ゴム,取替,左,右フロントマッドガード加工,100,2
抑え取り外し,,取り外し,外,抑え取りし,60,2
横根太修正,,修正,,横根太,40,2
出張,,,,,0,2
高速料金,,,,,0,2
スプリングシート4箇所前後亀裂点検カット溶接,シート,溶接,前,スプリング4箇所後亀裂点検カット,100,2
左右テールランプ脱着,ランプ,脱着,左,右テール,100,2
右ウィング開閉補助装置取替,ウィング,取替,右,開閉補助装置,100,2
スイッチステー切断付替え加工,ステー,切断,,スイッチ付替え加工,80,2
左サイドガード後ろステー折損部修正取付溶接,ステー,溶接,左,サイドガード後ろ折損部修正取付,100,2
サイドブレーキハンドル,ハンドル,,サイド,ブレーキ,60,2
ギヤボックス取替,,取替,,ギヤボックス,40,2
右滑り台脱着,,脱着,右,滑り台,60,2
鈑金亀裂溶接,,溶接,,鈑金亀裂,40,2
サイドミラー取替,ミラー,取替,サイド,,100,2
左サイドミラー取替,ミラー,取替,左,サイド,100,2
左右泥除けゴム2枚取替加工,ゴム,取替,左,右泥除け2枚加工,100,2
左右ステー脱着修正,ステー,脱着,左,右修正,100,2
補強材脱着,,脱着,,補強材,40,2
アドブルーキャップ分解取外し取替,,取替,外,アドブルーキャップ分解取し,60,2
荷台ベニヤ板脱着,,脱着,,荷台ベニヤ板,40,2
抑え切断,,切断,,抑え,40,2
ぺタックス応急貼付,,,,,0,2
右ウィング中板脱着,ウィング,脱着,右,中板,100,2
フラッシャーランプ取替インナーバンパー鈑金,バンパー,取替,インナー,フラッシャーランプ鈑金,100,2
左右ステンロックスイッチステー脱着Z曲げ加工リベット打ち替え6本,ステー,脱着,左,右ステンロックスイッチZ曲げ加工リベット打ち替え6本,100,2
リヤ左右キャブショックアブソーバー取替,,取替,左,リヤ右キャブショックアブソーバー,60,2
リヤ大型反射板取替,反射板,取替,,リヤ大型,80,2
ドライバーシート脱着分解,シート,脱着,,ドライバー分解,80,2
左ミラーアーム修正,ミラー,修正,左,アーム,100,2
左スケット２個取替,,取替,左,スケット２個,60,2
左フィニッシャー取替,フィニッシャー,取替,左,,100,2
取付溶接,,溶接,,取付,40,2
リヤカバー,カバー,,,リヤ,40,2
左ハーネスステー脱着,ステー,脱着,左,ハーネス,100,2
ハンドブレーキASSY切断取替溶接,,取替,,ハンドブレーキASSY切断溶接,40,2
床板破損部張替加工,,加工,,床板破損部張替,40,2
左前コンテナロックピン取付,,取付,左,前コンテナロックピン,60,2
ガイド曲がり直し,,直し,,ガイド曲がり,40,2
左ミラーアーム取替,ミラー,取替,左,アーム,100,2
ボルト折れ込み取外し取替加工2本,,取替,外,ボルト折れ込み取し加工2本,60,2
補強取付溶接,,溶接,,補強取付,40,2
アドブルーキャップ分解取外し,,,外,アドブルーキャップ分解取し,20,2
コンテナロックリターンスプリング取付,,取付,,コンテナロックリターンスプリング,40,2
リヤ泥除けゴム脱着,ゴム,脱着,,リヤ泥除け,80,2
切断加工4枚,,切断,,加工4枚,40,2
左後ろ煽りドアスケット取替,ドア,取替,左,後ろ煽りスケット,100,2
左ステップカバー,ステップ,,左,カバー,60,2
メッキカバー取付,カバー,取付,,メッキ,80,2
センサー,センサー,,,,40,2
ステー鈑金取付溶接,ステー,溶接,,鈑金取付,80,2
ブラケット加工,ブラケット,加工,,,80,2
床板張替,,張替,,床板,40,2
燃料タンクバンド取替2本,タンク,取替,,燃料バンド2本,80,2
サイドバンパー脱着,バンパー,脱着,サイド,,100,2
取替溶接,,取替,,溶接,40,2
センターバンパー,バンパー,,センター,,60,2
右フラッシャー取替,,取替,右,フラッシャー,60,2
左スケット取替,,取替,左,スケット,60,2
左ミラー取替,ミラー,取替,左,,100,2
左右フレームハンガー部分亀裂カット溶接仕上,,溶接,左,右フレームハンガー部分亀裂カット仕上,60,2
