invoice_id,invoice_month,invoice_date,customer_name,subject,registration_number,発注番号,order_number,subtotal,tax_amount,total_amount
21111324-1,2111,2021-11-22,UDトラックス株式会社,株式会社東西運輸,北九州100き2504,1700405839,10074481,128700,11700,128700
21111325-1,2111,2021-11-27,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100か9595,1700405889,10075538,44000,4000,44000
21111326-1,2111,2021-11-27,UDトラックス株式会社,丸正運送株式会社,筑豊800か･775,1700405886,10075854,6600,600,6600
21111327-1,2111,2021-11-27,UDトラックス株式会社,株式会社森若商会,北九州130う1971,1700405884,10075870,1100,100,1100
21111328-1,2111,2021-11-27,UDトラックス株式会社,株式会社森若商会,北九州130う1971,1700405884,10075870,11000,1000,11000
21111329-1,2111,2021-11-27,UDトラックス株式会社,株式会社森若商会,北九州130う1971,1700405884,10075870,0,0,0
21111329-2,2111,2021-11-30,UDトラックス株式会社,株式会社バンテック九州,北九州130い1562,1700405913,10075966,5500,500,5500
21111329-3,2111,2021-11-29,UDトラックス株式会社,株式会社ケイティトランスポート,筑豊830あ1312,1700405894,10075712,1100,100,1100
21111330-1,2111,2021-11-29,UDトラックス株式会社,平和物流株式会社,北九州100か9892,1700405892,10075509,4950,450,4950
21111331-1,2111,2021-11-29,UDトラックス株式会社,株式会社森若商会,北九州130う1971,1700405884,10075870,11000,1000,11000
21111332-1,2111,2021-11-30,UDトラックス株式会社,株式会社サクラ物流,北九州100か5538,1700405905,10075937,4400,400,4400
21111333-1,2111,2021-11-30,UDトラックス株式会社,有限会社三栄運輸,北九州135う･･11,1700405718,10075295,64350,5850,64350
21111334-1,2111,2022-09-28,UDトラックス株式会社,鶴丸海運株式会社,北九州130か･901,1700408018,10083748,23100,2100,23100
21111335-1,2111,2022-09-28,UDトラックス株式会社,鶴丸海運株式会社,北九州130か･901,1700408018,10083748,0,0,0
21111732-1,2111,2022-09-28,UDトラックス株式会社,株式会社バンテック九州,北九州100き3475,1700408027,10083878,11000,1000,11000
21111732-2,2111,2022-09-28,UDトラックス株式会社,株式会社バンテック九州,北九州100き3475,1700408027,10083878,0,0,0
21111733-1,2111,2022-09-28,UDトラックス株式会社,鶴丸海運株式会社,北九州100え2669,1700408013,1008350,26400,2400,26400
21111733-2,2111,2022-09-28,UDトラックス株式会社,鶴丸海運株式会社,北九州100え2669,1700408013,1008350,0,0,0
21111734-1,2111,2022-09-29,UDトラックス株式会社,株式会社清翔産業,北九州130い1700,1700407983,10083745,3300,300,3300
21111734-2,2111,2022-09-29,UDトラックス株式会社,株式会社清翔産業,北九州130い1700,1700407983,10083745,0,0,0
21111735-1,2111,2022-09-29,UDトラックス株式会社,株式会社バンテック,北九州11け3835,1700408021,10083825,6600,600,6600
21111735-2,2111,2022-09-29,UDトラックス株式会社,株式会社バンテック,北九州11け3835,1700408021,10083825,0,0,0
21111736-1,2112,2021-12-04,UDトラックス株式会社,北九州ダイキュー運輸株式会社,北九州130あ･497,1700405935,10075910,11000,1000,11000
21111736-2,2112,2021-12-11,UDトラックス株式会社,三友建設工業株式会社,北九州100は1661,1700405963,10075986,7700,700,7700
21121336-1,2112,2021-12-11,UDトラックス株式会社,株式会社森若商会,北九州100か2975,1700405982,10076281,19800,1800,19800
21121337-1,2112,2021-12-07,UDトラックス株式会社,九州紙運輸株式会社,北九州130う･162,1700405955,10076141,11000,1000,11000
21121338-1,2112,2021-12-07,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･756,1700405916,10075977,61600,5600,61600
21121339-1,2112,2021-12-09,UDトラックス株式会社,株式会社バンテック,横浜130う1600,1700405972,10076061,15400,1400,15400
21121340-1,2112,2021-12-13,UDトラックス株式会社,有限会社堀本建設,北九州102け･･･8,1700405993,10076340,19800,1800,19800
21121341-1,2112,2021-12-13,UDトラックス株式会社,香春石灰化学工業株式会社,筑豊130さ4774,1700405979,10076180,2200,200,2200
21121342-1,2112,2021-12-15,UDトラックス株式会社,北九州ダイキュー運輸株式会社,北九州130あ･497,1700406004,10076409,5500,500,5500
21121343-1,2112,2021-12-15,UDトラックス株式会社,有限会社井手梱包,北九州100あ7197,17000405991,10075993,191400,17400,191400
21121344-1,2112,2021-12-15,UDトラックス株式会社,有限会社井手梱包,北九州100あ7197,1700405991,10075993,191400,17400,191400
21121345-1,2112,2021-12-15,UDトラックス株式会社,有限会社堀本建設,北九州131え2001,1700405992,10076338,55000,5000,55000
21121345-2,2112,2021-12-19,UDトラックス株式会社,KD物流株式会社,北九州130あ･475,1700406024,10076489,13200,1200,13200
21121346-1,2112,2021-12-19,UDトラックス株式会社,田村運輸株式会社,北九州100き3335,1700406029,10076501,7700,700,7700
21121347-1,2112,2021-12-19,UDトラックス株式会社,北九州ダイキュー運輸株式会社,北九州130あ･497,1700406036,10076530,11000,1000,11000
21121348-1,2112,2021-12-16,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･763,1700406011,10076428,11000,1000,11000
21121349-1,2112,2021-12-20,UDトラックス株式会社,KD物流株式会社,北九州131う6000,1700406049,10076581,3300,300,3300
21121350-1,2112,2021-12-26,UDトラックス株式会社,株式会社森若商会,北九州130い1971,1700406084,10076707,55000,5000,55000
21121351-1,2112,2021-12-26,UDトラックス株式会社,株式会社サクラ物流,北九州130い776,1700405070,1700406070,2200,200,2200
21121352-1,2112,2021-12-26,UDトラックス株式会社,株式会社森若商会,北九州100か2975,1700406098,10076706,9900,900,9900
21121353-1,2112,2021-12-21,UDトラックス株式会社,鶴丸海運株式会社,北九州100か5861,1700406054,10076607,3300,300,3300
21121354-1,2112,2021-12-21,UDトラックス株式会社,株式会社バンテック,北九州100え4952,1700406056,10076609,4400,400,4400
21121355-1,2112,2021-12-21,UDトラックス株式会社,株式会社バンテック,北九州100あ4012,1700406057,10076610,4400,400,4400
21121356-1,2112,2021-12-21,UDトラックス株式会社,株式会社バンテック,北九州130あ4202,1700406058,10076611,4400,400,4400
21121357-1,2112,2021-12-26,UDトラックス株式会社,北九州ダイキュー運輸株式会社,北九州130い･429,1700406044,10076565,18700,1700,18700
21121358-1,2112,2021-12-27,UDトラックス株式会社,株式会社バンテック九州,久留米100か8677,1700405983,10076302,129800,11800,129800
21121359-1,2112,2021-12-27,UDトラックス株式会社,有限会社堀本建設,北九州100か･416,1700406104,10076620,20900,1900,20900
21121360-1,2112,2021-12-27,UDトラックス株式会社,有限会社堀本建設,北九州101あ･･･5,1700406083,10076691,20900,1900,20900
21121361-1,2112,2021-12-27,UDトラックス株式会社,有限会社三栄運輸,北九州135う･･11,1700406127,10075295,30800,2800,30800
21121362-1,2112,2021-12-28,UDトラックス株式会社,中野産業株式会社,筑豊130あ3201,1700406107,10076743,3300,300,3300
21121363-1,2112,2021-12-28,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100か6213,1700406091,10076719,6600,600,6600
21121364-1,2201,2022-01-07,UDトラックス株式会社,協立運輸株式会社,北九州130い3300,1700406135,10076825,8250,750,8250
21121365-1,2201,2022-01-07,UDトラックス株式会社,有限会社青浜建設,北九州130あ325,1700406137,1700406137,28600,2600,28600
22011366-1,2201,2022-01-07,UDトラックス株式会社,有限会社青浜建設,北九州130あ325,1700406137,10074472,28600,2600,28600
22011367-1,2201,2022-01-07,UDトラックス株式会社,株式会社サクラ物流,北九州100か7462,1700406134,10076820,17600,1600,17600
22011367-2,2201,2022-01-11,UDトラックス株式会社,株式会社バンテック九州,北九州11け4215,1700406146,10076686,100100,9100,100100
22011368-1,2201,2022-01-11,UDトラックス株式会社,株式会社バンテック,北九州100え･426,1700406149,10076854,5500,500,5500
22011369-1,2201,2022-01-11,UDトラックス株式会社,株式会社バンテック,北九州130あ4013,1700406150,10076893,6600,600,6600
22011370-1,2201,2022-01-11,UDトラックス株式会社,株式会社翔陸運,北九州100き2153,1700406142,10076852,5500,500,5500
22011371-1,2201,2022-01-16,UDトラックス株式会社,行橋市・みやこ町清掃施設組合,北九州102い3000,1700406203,10076284,8800,800,8800
22011372-1,2201,2022-01-16,UDトラックス株式会社,有限会社大雄産業,北九州100か2232,1700406193,10077057,6600,600,6600
22011373-1,2201,2022-01-16,UDトラックス株式会社,苅田工業部制部門経費,北九州100は2924,1700406200,10077088,6600,600,6600
22011374-1,2201,2022-01-13,UDトラックス株式会社,東洋物産株式会社,北九州100か5921,1700406175,10077016,14300,1300,14300
22011375-1,2201,2022-01-13,UDトラックス株式会社,株式会社バンテック,北九州100え4006,1700406161,10076936,19800,1800,19800
22011376-1,2201,2022-01-14,UDトラックス株式会社,有限会社青浜建設,北九州130あ･325,1700406174,10074472,52800,4800,52800
22011377-1,2201,2022-01-14,UDトラックス株式会社,株式会社アールシーロジ,北九州100あ8104,1700406184,10076928,9900,900,9900
22011378-1,2201,2022-01-17,UDトラックス株式会社,東洋物産株式会社,北九州130う8805,1700406198,10077086,19800,1800,19800
22011379-1,2201,2022-01-18,UDトラックス株式会社,周防運輸有限会社,北九州130き･･60,1700406221,10077121,6600,600,6600
22011380-1,2201,2022-01-18,UDトラックス株式会社,鶴丸海運株式会社,北九州100え2364,1700406159,10076933,127160,11560,127160
22011381-1,2201,2022-01-18,UDトラックス株式会社,パッシブル有限会社,北九州130う･790,1700406222,10076964,8800,800,8800
22011382-1,2201,2022-01-18,UDトラックス株式会社,有限会社パインカーゴ,北九州130あ8100,1700406212,10076201,311300,28300,311300
22011383-1,2201,2022-01-18,UDトラックス株式会社,有限会社三栄運輸,北九州101き･･･8,1700406234,10076560,55000,5000,55000
22011384-1,2201,2022-01-22,UDトラックス株式会社,株式会社永田興業,筑豊130う･･31,1700406264,10077894,8800,800,8800
22011385-1,2201,2022-01-22,UDトラックス株式会社,株式会社森若商会,北九州100か2975,1700406261,10076598,59400,5400,59400
22011386-1,2201,2022-01-25,UDトラックス株式会社,三友建設工業株式会社,北九州100は1661,1700406248,10077241,79200,7200,79200
22011387-1,2201,2022-01-28,UDトラックス株式会社,丸正運送株式会社,筑豊130え･･68,1700406300,10077448,7150,650,7150
22011388-1,2201,2022-01-29,UDトラックス株式会社,愛宕自動車工業株式会社,10077495,1700406309,10077495,21450,1950,21450
22011389-1,2201,2022-01-29,UDトラックス株式会社,愛宕自動車工業株式会社,北九州100え4902,1700406309,10077495,21450,1950,21450
22011390-1,2201,2022-01-29,UDトラックス株式会社,平和物流株式会社,北九州100か1102,1700406302,10077465,26400,2400,26400
22011390-2,2201,2022-01-29,UDトラックス株式会社,株式会社バンテック九州,北九州130い2981,1700406311,10077503,19800,1800,19800
22011391-1,2201,2022-01-31,UDトラックス株式会社,有限会社パインカーゴ,北九州130あ8100,1700406317,10076201,6600,600,6600
22011392-1,2201,2022-01-31,UDトラックス株式会社,久富産業株式会社,北九州100き1743,1700406299,10077444,2200,200,2200
22011393-1,2201,2022-01-10,UDトラックス株式会社,中野産業株式会社,北九州130い3206,1700406400,10077868,2200,200,2200
22011394-1,2201,2022-01-10,UDトラックス株式会社,中野産業株式会社,北九州130い3201,1700406392,10077850,2200,200,2200
22011425-1,2201,2022-01-20,UDトラックス株式会社,日通北九州運輸株式会社,北九州100か8682,1700406240,10077212,4400,400,4400
22011426-1,2201,2022-01-20,UDトラックス株式会社,株式会社東西運輸,北九州100き･372,1700406235,10077171,27500,2500,27500
22011448-1,2201,2022-03-14,UDトラックス株式会社,東邦興産株式会社,久留米100か6050,1700406595,10048648,2200,200,2200
22011449-1,2203,2022-03-14,UDトラックス株式会社,東邦興産株式会社,久留米100か6050,1700406595,10048648,0,0,0
22011450-1,2201,2022-03-14,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･769,1700406598,10078633,8800,800,8800
22011450-2,2203,2022-03-14,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･769,1700406598,10078633,0,0,0
22011451-1,2201,2022-03-14,UDトラックス株式会社,鶴丸海運株式会社,北九州100あ4811,1700406608,10078721,10450,950,10450
22011451-2,2203,2022-03-14,UDトラックス株式会社,鶴丸海運株式会社,北九州100あ4811,1700406608,10078721,0,0,0
22011452-1,2201,2022-03-14,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100か9577,1700406599,10078624,72600,6600,72600
22011452-2,2203,2022-03-14,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100か9577,1700406599,10078624,0,0,0
22011453-1,2202,2022-02-02,UDトラックス株式会社,行み組,,1389213,4121369778,5500,500,5500
22011453-2,2202,2022-02-02,UDトラックス株式会社,行み組,,4121369756,1389213,5500,500,5500
22021395-1,2202,2022-02-02,UDトラックス株式会社,行み組,0,4121369765,1389213,5500,500,5500
22021396-1,2202,2022-02-02,UDトラックス株式会社,行み組,,4121369771,1389213,5500,500,5500
22021396-2,2202,2022-02-02,UDトラックス株式会社,株式会社サクラ物流,北九州130い･780,1700406336,10077606,57200,5200,57200
22021397-1,2202,2022-02-02,UDトラックス株式会社,東邦興産株式会社,北九州100き1459,1700406335,10077608,6050,550,6050
22021398-1,2202,2022-02-02,UDトラックス株式会社,丸正運送株式会社,筑豊830あ･･35,1700406333,10077600,6050,550,6050
22021399-1,2202,2022-02-05,UDトラックス株式会社,東邦興産株式会社,北九州130を8800,1700406360,10077737,15400,1400,15400
22021400-1,2202,2022-02-05,UDトラックス株式会社,株式会社坂本産業,筑豊100か5188,1700406355,10077702,66000,6000,66000
22021401-1,2202,2022-02-10,UDトラックス株式会社,田村運輸株式会社,北九州100き1805,1700406391,10077848,13200,1200,13200
22021402-1,2202,2022-02-15,UDトラックス株式会社,中野産業株式会社,北九州130う3203,1700406424,10077966,2200,200,2200
22021403-1,2202,2022-02-15,UDトラックス株式会社,中野産業株式会社,北九州130う3202,1700406412,10077953,2200,200,2200
22021404-1,2202,2022-02-15,UDトラックス株式会社,中野産業株式会社,北九州130あ3207,1700406385,10077741,19800,1800,19800
22021405-1,2202,2022-02-15,UDトラックス株式会社,株式会社バンテック九州,北九州100き3173,1700406408,10077925,3300,300,3300
22021406-1,2202,2022-02-15,UDトラックス株式会社,株式会社バンテック,北九州100え･886,1700406410,10077945,1100,100,1100
22021407-1,2202,2022-02-15,UDトラックス株式会社,有限会社オート貿易,北九州100さ9153,1700406411,10077944,19800,1800,19800
22021408-1,2202,2022-02-16,UDトラックス株式会社,株式会社バンテック九州,北九州100え3141,1700406422,10077893,3300,300,3300
22021409-1,2202,2022-02-17,UDトラックス株式会社,株式会社バンテック,北九州130あ4110,1700406430,10077847,11000,1000,11000
22021410-1,2202,2022-02-17,UDトラックス株式会社,株式会社アールシーロジ,北九州100あ8104,1700406435,10077998,5500,500,5500
22021411-1,2202,2022-02-17,UDトラックス株式会社,有限会社水屋,大分131さ･･33,1700406441,10077997,4180,380,4180
22021412-1,2202,2022-02-17,UDトラックス株式会社,株式会社サクラ物流,北九州100か6432,1700406434,10077852,41800,3800,41800
22021413-1,2202,2022-02-17,UDトラックス株式会社,株式会社バンテック九州,北九州11け4061,1700406423,10077938,16500,1500,16500
22021414-1,2202,2022-02-17,UDトラックス株式会社,株式会社バンテック九州,北九州11け4062,1700406425,10077972,33550,3050,33550
22021415-1,2202,2022-02-19,UDトラックス株式会社,株式会社バンテック九州,北九州11け4343,1700406438,10078007,31900,2900,31900
22021416-1,2202,2022-02-20,UDトラックス株式会社,株式会社バンテック九州,北九州130あ2985,1700406432,10077634,60500,5500,60500
22021417-1,2202,2022-02-20,UDトラックス株式会社,宮西設備株式会社,北九州100あ8692,1700406457,10078102,40095,3645,40095
22021418-1,2202,2022-02-20,UDトラックス株式会社,株式会社上野商会,北九州130を･･70,1700406387,10077745,40095,3645,40095
22021419-1,2202,2022-02-20,UDトラックス株式会社,株式会社バンテック,横浜130あ2569,1700406458,10077934,4400,400,4400
22021420-1,2202,2022-02-21,UDトラックス株式会社,日立金属株式会社九州工場,機内車,1700406462,10078112,8800,800,8800
22021421-1,2202,2022-02-26,UDトラックス株式会社,株式会社日産クリエイティブサービス九州支店,横浜100そ2932,1700406496,10078203,5500,500,5500
22021422-1,2202,2022-02-26,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ4997,1700406492,10078251,8800,800,8800
22021423-1,2202,2022-02-26,UDトラックス株式会社,日通北九州運輸株式会社,北九州100き･590,1700406490,10078242,1100,100,1100
22021424-1,2202,2022-02-28,UDトラックス株式会社,中野産業株式会社,北九州130あ3210,1700406500,10078294,660,60,660
22021427-1,2202,2022-03-03,UDトラックス株式会社,三原物流株式会社,北九州100き1865,1700406528,10078410,5500,500,5500
22021428-1,2203,2022-03-03,UDトラックス株式会社,三原物流株式会社,北九州100き1865,1700406528,10078410,0,0,0
22021429-1,2202,2022-03-03,UDトラックス株式会社,豊工業有限会社,北九州11や8093,1700406527,10078309,2200,200,2200
22021429-2,2203,2022-03-03,UDトラックス株式会社,豊工業有限会社,北九州11や8093,1700406527,10078309,2200,200,2200
22021430-1,2203,2022-03-03,UDトラックス株式会社,豊工業有限会社,北九州11や8093,1700406527,10078309,0,0,0
22021430-2,2202,2022-05-21,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ3038,1700407058,10080401,8800,800,8800
22021430-3,2202,2022-05-21,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ3038,1700407058,10080401,0,0,0
22021522-1,2202,2022-05-21,UDトラックス株式会社,佐川急便株式会社,北九州100あ4360,北九州100あ43690,10080349,8800,800,8800
22021522-2,2202,2022-05-21,UDトラックス株式会社,佐川急便株式会社,北九州100あ4360,北九州100あ43690,10080349,0,0,0
22021523-1,2202,2022-05-21,UDトラックス株式会社,株式会社ケイティトランスポート,筑豊130い1605,1700407070,10080395,6600,600,6600
22021523-2,2202,2022-05-21,UDトラックス株式会社,株式会社ケイティトランスポート,筑豊130い1605,1700407070,10080395,0,0,0
22021524-1,2202,2022-05-21,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100き1100,1700407055,10080226,5500,500,5500
22021524-2,2202,2022-05-21,UDトラックス株式会社,有限会社SONEKIN　WORKS,北九州100き1100,1700407055,10080226,0,0,0
22021525-1,2202,2022-05-21,UDトラックス株式会社,株式会社バンテック九州,北九州100え3685,1700407062,10080363,19800,1800,19800
22021525-2,2202,2022-05-21,UDトラックス株式会社,株式会社バンテック九州,北九州100え3685,1700407062,10080363,0,0,0
22021526-1,2202,2022-05-21,UDトラックス株式会社,平和物流株式会社,北九州100か8384,1700407066,10080413,7700,700,7700
22021526-2,2202,2022-05-21,UDトラックス株式会社,平和物流株式会社,北九州100か8384,1700407066,10080413,0,0,0
22021527-1,2202,2022-05-21,UDトラックス株式会社,東邦興産株式会社,北九州100き2724,1700407044,10080345,5500,500,5500
22021527-2,2202,2022-05-21,UDトラックス株式会社,東邦興産株式会社,北九州100き2724,1700407044,10080345,0,0,0
22021528-1,2202,2022-05-21,UDトラックス株式会社,東洋物産株式会社,北九州130あ3579,1700407061,10080406,49500,4500,49500
22021528-2,2202,2022-05-21,UDトラックス株式会社,東洋物産株式会社,北九州130あ3579,1700407061,10080406,0,0,0
22021529-1,2202,2022-05-22,UDトラックス株式会社,田村運輸株式会社,北九州100き1450,1700407064,10080202,19800,1800,19800
22021529-2,2202,2022-05-22,UDトラックス株式会社,田村運輸株式会社,北九州100き1450,1700407064,10080202,0,0,0
22021530-1,2202,2022-05-23,UDトラックス株式会社,株式会社サクラ物流,北九州130う･773,1700407065,10080412,19800,1800,19800
22021530-2,2202,2022-05-23,UDトラックス株式会社,株式会社サクラ物流,北九州130う･773,1700407065,10080412,0,0,0
22021531-1,2202,2022-05-23,UDトラックス株式会社,東洋物産株式会社,北九州100き5921,1700407082,10080444,48400,4400,48400
22021531-2,2202,2022-05-23,UDトラックス株式会社,東洋物産株式会社,北九州100き5921,1700407082,10080444,0,0,0
22021532-1,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372715,1389213,33000,3000,33000
22021532-2,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372715,1389213,0,0,0
22021533-1,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372713,1389213,33000,3000,33000
22021533-2,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372713,1389213,0,0,0
22021534-1,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372712,1389213,33000,3000,33000
22021534-2,2202,2022-05-23,UDトラックス株式会社,株式会社永田興業,新車999ん9999,4121372712,1389213,0,0,0
22021535-1,2202,2022-02-01,UDトラックス株式会社,株式会社ロジコム・アイ,北九州100か8864,1700406327,10077570,8800,800,8800
22021535-2,2202,2022-02-02,UDトラックス株式会社,有限会社行橋鎮西運送,北九州100あ8496,1700406329,10077588,26400,2400,26400
22021695-1,2202,2022-02-19,UDトラックス株式会社,株式会社サクラ物流,北九州130い･812,1700406445,10078047,37400,3400,37400
22021696-1,2202,2022-02-10,UDトラックス株式会社,中野産業株式会社,北九州130い3206,1700406393,10077851,2200,200,2200
22021697-1,2203,2022-03-04,UDトラックス株式会社,平和物流株式会社,北九州00か2445,1700406538,10078439,26950,2450,26950
22022117-1,2203,2022-03-04,UDトラックス株式会社,株式会社白石開発,北九州100け･･69,1700406499,10078257,23650,2150,23650
22031431-1,2203,2022-03-03,UDトラックス株式会社,豊工業有限会社,北九州11や8093,1700406527,10078309,2200,200,2200
22031432-1,2203,2022-03-03,UDトラックス株式会社,三原物流株式会社,北九州100き1865,1700406528,10078410,5500,500,5500
22031433-1,2203,2022-03-02,UDトラックス株式会社,マコトロジテック株式会社,北九州130う2202,1700406524,10078387,7150,650,7150
22031434-1,2203,2022-03-02,UDトラックス株式会社,塚本精工株式会社,北九州100す･585,1700406523,10078383,5500,500,5500
22031435-1,2203,2022-03-02,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･756,1700406526,10078393,17600,1600,17600
22031436-1,2203,2022-03-02,UDトラックス株式会社,株式会社森若商会,北九州100か2975,1700406512,10076598,46200,4200,46200
22031437-1,2203,2022-03-06,UDトラックス株式会社,フコク物流株式会社,北九州100き2747,1700406552,10078472,8800,800,8800
22031438-1,2203,2022-03-06,UDトラックス株式会社,株式会社サクラ物流,北九州130き789,1700406549,10078495,22000,2000,22000
22031439-1,2203,2022-03-06,UDトラックス株式会社,株式会社サクラ物流,北九州130き789,1700406546,10078495,22000,2000,22000
22031440-1,2203,2022-03-06,UDトラックス株式会社,株式会社サクラ物流,筑豊130あ655,1700406547,10078496,23100,2100,23100
22031440-2,2203,2022-03-07,UDトラックス株式会社,株式会社サクラ物流,北九州130あ･763,1700406556,10078530,2200,200,2200
22031442-1,2203,2022-03-09,UDトラックス株式会社,協栄陸運株式会社,福岡100き4994,1700406560,10078451,19800,1800,19800
22031443-1,2203,2022-03-09,UDトラックス株式会社,株式会社ロジコム・アイ,北九州100か9212,1700406575,10078607,8250,750,8250
22031443-2,2203,2022-03-09,UDトラックス株式会社,東邦興産株式会社,北九州100き1458,1700406419,10077964,249700,22700,249700
22031444-1,2203,2022-03-10,UDトラックス株式会社,九州紙運輸株式会社,北九州130う･162,1700406588,10078616,8800,800,8800
