target_name,action_name,position_name,memo,unit_price,quantity,raw_label,task_type
スプリングシート,溶接,,スプリングシート溶接補修,22000,1,シート溶接,structured
ライニング,張替,,ブレーキライニング張替,15000,1,ライニング張替,structured
タイヤ,交換,右,たいや交換作業,6500,1,たいや こうかん みぎ,fuzzy
ホイール,脱着,左,ほいーる取り外し,3500,1,ホイル だっちゃく ひだり,fuzzy
ライト,交換,,らいと球交換,4500,1,ライト　コウカン,fuzzy
バンパー,修理,,ばんぱー直し,18000,1,フロント ばんぱー しゅうり,fuzzy
コーナーパネル,塗装,右,こーなー塗装,8000,1,右 コーナー とそう,fuzzy
エンジンオイル,交換,,えんじんおいる,5500,1,オイル　こうかん,fuzzy
ブレーキパッド,交換,前,ぶれーきぱっど,8500,1,前 ブレーキ　交換,fuzzy
タイヤ,点検,,タイヤ確認,1200,1,タイア　てんけん,fuzzy
ホイール,清掃,左右,ホイール洗い,2800,1,ホイル　せいそう,fuzzy
バッテリー,交換,,バッテリ交換,15000,1,ﾊﾞｯﾃﾘｰ こうかん,fuzzy
ライト,調整,左右,らいと調整,2200,1,ライト　ちょうせい,fuzzy
エアフィルター,交換,,エアフィルタ,3500,1,ｴｱﾌｨﾙﾀｰ　こうかん,fuzzy
スパークプラグ,交換,,プラグ取替,8000,4,ﾌﾟﾗｸﾞ　とりかえ,fuzzy
マフラー,修理,,まふらー修理,12000,1,マフラー　しゅうり,fuzzy
ワイパー,交換,前,わいぱー,2800,2,ワイパー　とりかえ,fuzzy
ベルト,交換,,べると交換,4500,1,ベルト　こうかん,fuzzy
ショック,交換,右後,しょっく,18000,1,右うしろ　ショック,fuzzy
サスペンション,修理,左前,さすぺんしょん,35000,1,左まえ　サス　修理,fuzzy
ライニング,張替,,らいにんぐ,15000,1,ライニング　はりかえ,fuzzy
スプリングシート,溶接,,しーと溶接,22000,1,スプリング　ようせつ,fuzzy
ATF,交換,,ATF,12000,1,オートマ　オイル　交換,fuzzy
ブレーキディスク,研磨,左右,でぃすく研磨,12000,1,ブレーキ　けんま,fuzzy
フラッシャー,交換,右,ウインカー,3800,1,右　ウインカー　交換,fuzzy
フラッシャー,交換,左,ふらっしゃー,3800,1,左　フラッシャー　とりかえ,fuzzy
テールライト,交換,右,テールランプ,2500,1,右　テール　交換,fuzzy
テールライト,交換,左,ているらいと,2500,1,左　テールライト　こうかん,fuzzy
フェンダー,修理,右,ふぇんだー,25000,1,右　フェンダー　修理,fuzzy
ドアパネル,調整,右,どあ調整,8000,1,右　ドア　ちょうせい,fuzzy
ボンネット,修理,,ぼんねっと,15000,1,ボンネット　修理,fuzzy
トランク,調整,,とらんく,3000,1,トランク　調整,fuzzy
ラジエーター,修理,,らじえーたー,28000,1,ラジエター　修理,fuzzy
LLC,交換,,冷却水,3200,1,LLC　こうかん,fuzzy
エアコンフィルター,交換,,えあこん,4500,1,エアコン　フィルター　交換,fuzzy
オイルエレメント,交換,,おいるえれめんと,2800,1,オイル　エレメント　交換,fuzzy
ワイパーゴム,交換,前,わいぱーごむ,800,2,ワイパー　ゴム　交換,fuzzy
タイヤ,調整,左右,空気圧調整,500,1,タイヤ　くうきあつ,fuzzy
ホイール,修理,右前,ほいーる修理,12000,1,右前　ホイール　修理,fuzzy
ブレーキドラム,研磨,左右,どらむ研磨,8500,1,ブレーキドラム　けんま,fuzzy
フォグライト,交換,左右,フォグランプ,6500,2,フォグライト　こうかん,fuzzy
リアバンパー,修理,,リアばんぱー,15000,1,後　バンパー　修理,fuzzy
フロントバンパー,塗装,,フロント塗装,20000,1,前　バンパー　とそう,fuzzy
ヘッドライト,清掃,左右,ヘッドライト磨き,1800,1,ヘッドライト　みがき,fuzzy
スプリング,交換,右前,ばね交換,25000,1,右前　スプリング　こうかん,fuzzy
タイヤ,研磨,左右,タイヤワックス,1500,1,タイヤ　わっくす,fuzzy
ホイール,研磨,左右,ホイール磨き,3500,1,ホイール　みがき,fuzzy
バンパー,補修,前,バンパー補修,8000,1,前　バンパー　ほしゅう,fuzzy
コーナーパネル,補修,左後,パネル補修,6000,1,左後　パネル　ほしゅう,fuzzy
ドアパネル,修理,左,ドア板金,18000,1,左　ドア　ばんきん,fuzzy
フェンダー,塗装,左,フェンダー塗装,15000,1,左　フェンダー　とそう,fuzzy
ボンネット,塗装,,ボンネット塗装,22000,1,ボンネット　とそう,fuzzy
ベルト,調整,,ベルト張り,1200,1,ベルト　ちょうせい,fuzzy
ベルト,点検,,ベルト確認,800,1,ベルト　てんけん,fuzzy
ラジエーター,清掃,,ラジエーター洗浄,5500,1,ラジエーター　せんじょう,fuzzy
サスペンション,調整,右後,サス調整,3500,1,右後　サス　ちょうせい,fuzzy
サスペンション,点検,左右,サス点検,2000,1,サスペンション　てんけん,fuzzy
スプリング,調整,左後,スプリング調整,2500,1,左後　スプリング　ちょうせい,fuzzy
ショック,修理,左前,ショック修理,28000,1,左前　ショック　しゅうり,fuzzy
マフラー,交換,,マフラー取替,25000,1,マフラー　とりかえ,fuzzy
マフラー,溶接,,マフラー溶接,8500,1,マフラー　ようせつ,fuzzy
ATF,注入,,ATF補充,800,1,ATF　ほじゅう,fuzzy
LLC,注入,,LLC補充,500,1,LLC　ほじゅう,fuzzy
エンジンオイル,注入,,オイル補充,800,1,オイル　ほじゅう,fuzzy
バッテリー,充填,,バッテリー液,300,1,バッテリー　えき,fuzzy
ウインカー,点検,左右,ウインカー確認,500,1,ウインカー　てんけん,fuzzy
フラッシャー,点検,左右,フラッシャー確認,500,1,フラッシャー　てんけん,fuzzy
テールライト,点検,左右,テール確認,500,1,テールライト　てんけん,fuzzy
ヘッドライト,修理,右,ヘッドライト修理,8500,1,右　ヘッドライト　しゅうり,fuzzy
フォグライト,取付,左右,フォグ取付,4500,2,フォグライト　とりつけ,fuzzy
