id,invoice_id,line_no,sub_no,raw_label_part,action,target,position,raw_label,unit_price,quantity,amount,other,set_name,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at
11,21111295-1,2,4,左サッシュ脱着加工,脱着・加工,サッシュ,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,,ドア修理一式,,,,,,
12,21111295-1,2,5,左アウターハンドル脱着加工,脱着・加工,アウターハンドル,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,,ドア修理一式,,,,,,
13,21111295-1,2,6,左安全ガラスアウターカバー脱着 異音防止加工,脱着・加工,安全ガラスアウターカバー,左,左ドアー内張り、レギュレター、ラッチ、サッシュ、アウターハンドル脱着、安全ガラスアウターカバー脱着異音防止加工,,1,,異音防止加工,ドア修理一式,,,,,,
14,21111296-1,1,1,右サニーホース加工取替 取り外し,加工・取替,サニーホース,右,右サニーホース取り外し、押えボルト折れ込み取替加工２本,,1,,取り外し,,,,,,,
15,21111296-1,1,2,右ボルト折れ込み加工 押え取替２本,加工・取替,ボルト折れ込み,右,右サニーホース取り外し、押えボルト折れ込み取替加工２本,,1,,押え取替２本,,,,,,,
16,21111296-1,2,1,右コボレーンシャフト曲がり直し補修塗装 塗装,曲がり直し・補修・塗装,コボレーンシャフト,右,右コボレーンシャフト曲がり直し、補修塗装,,1,,塗装,修理一式,,,,,,
17,21111296-1,2,2,右塗装補修曲がり直し 補修,塗装・補修・曲がり直し,,右,右コボレーンシャフト曲がり直し、補修塗装,,1,,補修,修理一式,,,,,,
18,21111297-1,1,1,右シート脱着 右ウイング下張替,脱着・張替,シート,右,右ウイングシート下側脱着張替,12000.0,1,12000.0,右ウイング下張替,,,,,,,
19,21111297-1,2,1,右ステー切断補強曲がり直し ウイング枠骨腐食部分付け替え溶接,切断・補強・曲がり直し,ステー,右,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,,1,,ウイング枠骨腐食部分付け替え溶接,ウイング修理一式,,,,,,
20,21111297-1,2,2,右リブ切断補強曲がり直し 補強制作取付,切断・補強・曲がり直し,リブ,右,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,,1,,補強制作取付,ウイング修理一式,,,,,,
21,21111297-1,2,3,右ウイング枠骨ステー腐食部分切断付け替え溶接曲がり直し補強取付 枠切断,曲がり直し・補強・取付,ウイング枠骨ステー腐食部分切断付け替え溶接,右,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,,1,,枠切断,ウイング修理一式,,,,,,
22,21111297-1,2,4,右フラットバー切断補強曲がり直し 枠腐食分切替溶接,切断・補強・曲がり直し,フラットバー,右,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,,1,,枠腐食分切替溶接,ウイング修理一式,,,,,,
23,21111298-1,1,1,反射板ステー曲がり直し,曲がり直し,反射板ステー,,反射板ステー曲がり直し,4000.0,1,4000.0,,,,,,,,
24,21111298-1,2,1,右反射板取替打ち換え,取替・打ち換え,反射板,右,左右反射板取替、リベット打ち換え,,1,,,反射板修理一式,,,,,,
25,21111298-1,2,2,左右リベット取替 打ち換え,取替・打ち換え,リベット,左右,左右反射板取替、リベット打ち換え,,1,,打ち換え,反射板修理一式,,,,,,
26,21111299-1,1,1,マフラーカバー取付,取付,マフラーカバー,,マフラーカバー取付,1000.0,1,1000.0,,,,,,,,
27,21111300-1,1,1,左右サイドガード溶接 左右亀裂4ヶ所,溶接,サイドガード,左右,左右サイドガード亀裂溶接4ヶ所,8000.0,1,8000.0,左右亀裂4ヶ所,,,,,,,
28,21111301-1,1,1,パイプ穴埋め 応急溶接,穴埋め・溶接,パイプ,,パイプ応急穴埋め溶接,4000.0,1,4000.0,応急溶接,,,,,,,
29,21111302-1,1,1,左ウィングキャッチ取替 前,取替,ウィングキャッチ,左,左前ウィングキャッチ取替,1000.0,1,1000.0,前,,,,,,,
30,21111302-1,1,1,アンダーミラー点検 応急貼付,点検・貼付,アンダーミラー,,アンダーミラー点検応急貼付,1000.0,1,1000.0,応急貼付,,,,,,,
31,21111303-1,1,1,左右サイドガードステー補強 左右3本腐食折損部リブ取付加工溶接,補強・取付・加工,サイドガードステー,左右,左右サイドガードステー3本腐食折損部補強リブ取付加工溶接,6000.0,3,18000.0,左右3本腐食折損部リブ取付加工溶接,,,,,,,
32,21111304-1,1,1,右サイドガード溶接 右後ろ,溶接,サイドガード,右,右後ろサイドガード溶接,3000.0,1,3000.0,右後ろ,,,,,,,
33,21111305-1,1,1,右サイドガード修正 右折損部取付溶接,修正・取付・溶接,サイドガード,右,右サイドガード折損部修正取付溶接,3000.0,1,3000.0,右折損部取付溶接,,,,,,,
34,21111305-1,2,1,後タイコマフラー穴埋め鈑金溶接 後ろ差し込み口鈑金,穴埋め・鈑金・溶接,タイコマフラー,後,タイコマフラー後ろ差し込み口鈑金、腐食3ヶ所穴埋め溶接,,1,,後ろ差し込み口鈑金,マフラー修理一式,,,,,,
35,21111305-1,2,2,後穴埋め鈑金溶接 腐食3ヶ所溶接,穴埋め・鈑金・溶接,,後,タイコマフラー後ろ差し込み口鈑金、腐食3ヶ所穴埋め溶接,,1,,腐食3ヶ所溶接,マフラー修理一式,,,,,,
36,21111305-1,3,1,テールパイプ切断 取替,切断・取替,テールパイプ,,テールパイプ取替、ボルト切断取替,,1,,取替,,,,,,,
37,21111305-1,3,2,ボルト切断 取替,切断・取替,ボルト,,テールパイプ取替、ボルト切断取替,,1,,取替,,,,,,,
38,21111306-1,1,1,左右イコライザーロックピン切断修正取付 右3ヶ所修正ロック固定溶接加工,切断・修正・取付,イコライザーロックピン,左右,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接、ロック下駄取付加工溶接,,1,,右3ヶ所修正ロック固定溶接加工,,,,,,,
39,21111306-1,1,2,左右加工修正取付 ロック駄取付溶接,加工・修正・取付,,左右,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接、ロック下駄取付加工溶接,,1,,ロック駄取付溶接,,,,,,,
40,21111307-1,1,1,右ミラーアーム修正取替脱着 脱着,修正・取替・脱着,ミラーアーム,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,脱着,,,,,,,
41,21111307-1,1,2,右ドア修正取替脱着 捻じれ直し,修正・取替・脱着,ドア,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,捻じれ直し,,,,,,,
42,21111307-1,1,3,右スカッフプレート修正取替脱着 脱着,修正・取替・脱着,スカッフプレート,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,脱着,,,,,,,
43,21111307-1,1,4,右ウェザーストリップゴム取替修正脱着 修正,取替・修正・脱着,ウェザーストリップゴム,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,修正,,,,,,,
44,21111307-1,1,5,右ストライカー取替修正脱着 修正,取替・修正・脱着,ストライカー,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,修正,,,,,,,
45,21111307-1,1,6,右コーキング入替修正取替脱着 ドアー蝶番脱着,修正・取替・脱着,コーキング入替,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,ドアー蝶番脱着,,,,,,,
46,21111307-2,1,1,右ミラーアーム修正取替脱着 脱着,修正・取替・脱着,ミラーアーム,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,脱着,,,,,,,
47,21111307-2,1,2,右ドア修正取替脱着 捻じれ直し,修正・取替・脱着,ドア,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,捻じれ直し,,,,,,,
48,21111307-2,1,3,右スカッフプレート修正取替脱着 脱着,修正・取替・脱着,スカッフプレート,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,脱着,,,,,,,
49,21111307-2,1,4,右ウェザーストリップゴム取替修正脱着 修正,取替・修正・脱着,ウェザーストリップゴム,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,修正,,,,,,,
50,21111307-2,1,5,右ストライカー取替修正脱着 修正,取替・修正・脱着,ストライカー,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,修正,,,,,,,
51,21111307-2,1,6,右コーキング入替修正取替脱着 ドアー蝶番脱着,修正・取替・脱着,コーキング入替,右,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,,1,,ドアー蝶番脱着,,,,,,,
52,21111308-1,1,1,右フロントバンパー製作点検取替 右異音点検,製作・点検・取替,フロントバンパー,右,フロントバンパー右異音点検、ブレ止めステー製作取替加工,,1,,右異音点検,,,,,,,
53,21111308-1,1,2,右ステー製作点検取替 ブレ止め取替加工,製作・点検・取替,ステー,右,フロントバンパー右異音点検、ブレ止めステー製作取替加工,,1,,ブレ止め取替加工,,,,,,,
54,21111309-1,1,1,右セイコーラックアーム曲がり直し 後ろ応急取付,曲がり直し・取付,セイコーラックアーム,右,右後ろセイコーラックアーム応急曲がり直し、ピン取付,,1,,後ろ応急取付,,,,,,,
55,21111309-1,1,2,右取付曲がり直し ピン,取付・曲がり直し,,右,右後ろセイコーラックアーム応急曲がり直し、ピン取付,,1,,ピン,,,,,,,
56,21111310-1,1,1,蝶番ピン加工 煽り取付掘り３本,加工・取付,蝶番ピン,,煽り蝶番ピン取付穴掘り加工３本,3000.0,3,9000.0,煽り取付掘り３本,,,,,,,
57,21111310-1,1,1,右キャッチ加工 前煽り脱着フック制作取付溶接,加工・取付・脱着,キャッチ,右,右前煽りキャッチ脱着フック制作取付加工溶接,8000.0,1,8000.0,前煽り脱着フック制作取付溶接,,,,,,,
58,21111311-1,1,1,後横根太補強修正取付 後ろ折損修正,補強・修正・取付,横根太,後,後ろ横根太折損部修正、補強リブ制作取付加工溶接,,1,,後ろ折損修正,,,,,,,
59,21111311-1,1,2,後リブ補強修正取付 制作取付加工溶接,補強・修正・取付,リブ,後,後ろ横根太折損部修正、補強リブ制作取付加工溶接,,1,,制作取付加工溶接,,,,,,,
60,21111311-1,1,1,床板修正,修正,床板,,床板修正,15000.0,1,15000.0,,,,,,,,
61,21111311-1,3,1,左右フェンダー脱着溶接付け替え 左右溶接,脱着・溶接・付け替え,フェンダー,左右,左右リアフェンダー脱着、ステー付け替え溶接,,1,,左右溶接,,,,,,,
62,21111311-1,3,2,左右ステー溶接脱着付け替え 付け替え,溶接・脱着・付け替え,ステー,左右,左右リアフェンダー脱着、ステー付け替え溶接,,1,,付け替え,,,,,,,
63,21111311-1,4,1,左リブ入れ補強 前床板破損部溶接,補強・溶接,リブ入れ,左,左前床板破損部補強リブ入れ溶接,12000.0,1,12000.0,前床板破損部溶接,,,,,,,
64,21111312-1,1,1,リヤ戸当たりゴム取付 リヤゲート,取付,戸当たりゴム,リヤ,リヤゲート戸当たりゴム取付、ワッシャー追加取付,,1,,リヤゲート,,,,,,,
65,21111312-1,1,2,リヤ取付 ワッシャー追加,取付,,リヤ,リヤゲート戸当たりゴム取付、ワッシャー追加取付,,1,,ワッシャー追加,,,,,,,
66,21111313-1,1,1,右サイドガード修正 右折損部取付溶接,修正・取付・溶接,サイドガード,右,右サイドガード折損部修正取付溶接,5000.0,1,5000.0,右折損部取付溶接,,,,,,,
67,21111314-1,1,1,外ボルト折れ込み取外し リヤナンバー取替,取外し・取替,ボルト折れ込み,外,リヤナンバーボルト折れ込み取外し取替,5000.0,1,5000.0,リヤナンバー取替,,,,,,,
68,21111315-1,1,1,フロントフロントリッド取替 グリル脱着グロメット貼付,取替・脱着・貼付,フロントリッド,フロント,フロントリッドグリル脱着グロメット取替貼付,5000.0,1,5000.0,グリル脱着グロメット貼付,,,,,,,
69,21111315-1,1,1,グリスアップ ウイング蝶番,,グリスアップ,,ウイング蝶番グリスアップ,5000.0,1,5000.0,ウイング蝶番,,,,,,,
70,21111315-1,3,1,右ステンウィングキャッチ曲がり直し 後ろ受け脱着,曲がり直し・脱着,ステンウィングキャッチ,右,右後ろステンウィングキャッチ受け脱着曲がり直し,8000.0,1,8000.0,後ろ受け脱着,,,,,,,
71,21111316-1,1,1,外ジャバラパイプ脱着取外し加工,脱着・取外し・加工,ジャバラパイプ,外,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,,1,,,,,,,,,
72,21111316-1,1,2,外マフラー取外し脱着加工 UDPC,取外し・脱着・加工,マフラー,外,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,,1,,UDPC,,,,,,,
73,21111316-1,1,3,外ボルト折れ込み取外し脱着加工 腐食加工,取外し・脱着・加工,ボルト折れ込み,外,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,,1,,腐食加工,,,,,,,
74,21111316-1,1,4,外タップ脱着取外し加工 掛け,脱着・取外し・加工,タップ,外,ジャバラパイプ脱着、UDPCマフラー取外し、腐食ボルト折れ込み取外し加工、タップ掛け,,1,,掛け,,,,,,,
75,21111317-1,1,1,左右キャスターストッパー仕上げ 右溶接部分切断取外し加工,仕上げ・取外し・加工,キャスターストッパー,左右,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,,1,,右溶接部分切断取外し加工,,,,,,,
76,21111317-1,1,2,左右コーキング入替加工取外し溶接,加工・取外し・溶接,コーキング入替,左右,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,,1,,,,,,,,,
77,21111317-1,1,3,左右フラットバー切断取外し加工 廃棄加工,切断・取外し・加工,フラットバー,左右,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,,1,,廃棄加工,,,,,,,
78,21111317-1,1,4,左右アングル加工取外し溶接 押え止め,加工・取外し・溶接,アングル,左右,左右キャスターストッパー溶接部分切断取外し仕上げ、コーキング入替、フラットバー切断廃棄、押えアングル止め加工,,1,,押え止め,,,,,,,
79,21111318-1,1,1,左観音扉加工切替付替 下側中板一部分切替,加工・切替・付替,観音扉,左,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,,1,,下側中板一部分切替,,,,,,,
80,21111318-1,1,2,左付替切替加工 開き止めえ加工,付替・切替・加工,,左,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,,1,,開き止めえ加工,,,,,,,
81,21111318-1,1,3,左コーキング入替加工切替付替,加工・切替・付替,コーキング入替,左,左観音扉下側中板一部分切替加工、開き止め付替え加工、コーキング入替,,1,,,,,,,,,
82,21111318-1,2,1,右観音扉加工取替取付 右下中板切替ステー取付,加工・取替・取付,観音扉,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,右下中板切替ステー取付,ドア修理一式,,,,,,
83,21111318-1,2,2,右ヒンジ加工取替取付,加工・取替・取付,ヒンジ,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,,ドア修理一式,,,,,,
84,21111318-1,2,3,右キャッチシャフト加工取替取付,加工・取替・取付,キャッチシャフト,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,,ドア修理一式,,,,,,
85,21111318-1,2,4,右ボルト切断取替付替取替取付 開き止め脱着え加工加工,付替・取替・取付,ボルト切断取替,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,開き止め脱着え加工加工,ドア修理一式,,,,,,
86,21111318-1,2,5,右鋼板加工取替取付 切替接着,加工・取替・取付,鋼板,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,切替接着,ドア修理一式,,,,,,
87,21111318-1,2,6,右ボルト切断取替取付 取替加工,切断・取替・取付,ボルト,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,取替加工,ドア修理一式,,,,,,
88,21111318-1,2,7,右コーキング入替加工取替取付,加工・取替・取付,コーキング入替,右,右観音扉下側中板切替ステー取付加工、ヒンジ、キャッチシャフト、開き止め脱着付替え加工、裏鋼板切替接着加工、ボルト切断取替、コーキング入替加工,,1,,,ドア修理一式,,,,,,
89,21111318-1,3,1,ボルト一式 材料 トタン,,ボルト一式,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,材料 トタン,,,,,,,
90,21111318-1,3,2,木材,,木材,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,,,,,,,,
91,21111318-1,3,3,ステー,,ステー,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,,,,,,,,
92,21111318-1,3,4,ボルト一式 接着剤,,ボルト一式,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,接着剤,,,,,,,
93,21111318-1,3,5,ボルト一式 コーキング,,ボルト一式,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,コーキング,,,,,,,
94,21111318-1,3,6,ボルト一式,,ボルト一式,,材料　　トタン、木材、ステー、接着剤、コーキング、ボルト一式,,1,,,,,,,,,
95,21111319-1,1,1,左サイドガード脱着 左,脱着,サイドガード,左,左サイドガード脱着,4000.0,1,4000.0,左,,,,,,,
96,21111319-1,2,1,左踊場脱着加工 折れ込み取替２本脱着,加工・取替・脱着,踊場脱着,左,左踊場脱着折れ込み取替加工２本、踊場枠脱着,,1,,折れ込み取替２本脱着,踊場修理一式,,,,,,
97,21111319-1,2,2,左踊場枠脱着取替加工,脱着・取替・加工,踊場枠,左,左踊場脱着折れ込み取替加工２本、踊場枠脱着,,1,,,踊場修理一式,,,,,,
98,21111319-1,3,1,燃料タンク脱着,脱着,燃料タンク,,燃料タンク脱着,4000.0,1,4000.0,,,,,,,,
99,21111320-1,1,1,左蝶番ボルト取付 煽りドアー３本,取付,蝶番ボルト,左,左煽りドアー蝶番ボルト３本取付,2000.0,1,2000.0,煽りドアー３本,,,,,,,
100,21111321-1,1,1,左ブラケット補強修正取付 ウイング後ろウイングキャッチ折損部リブ取付加工加工,補強・修正・取付,ブラケット,左,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工、シートカバー修正取付加工,,1,,ウイング後ろウイングキャッチ折損部リブ取付加工加工,,,,,,,
101,21111321-1,1,2,左シートカバー加工修正補強 修正取付,加工・修正・補強,シートカバー,左,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工、シートカバー修正取付加工,,1,,修正取付,,,,,,,
102,21111322-1,1,1,ボデー床板破損部分加工 床板破損分３ヶ所張替,加工・張替,ボデー床板破損部分,,ボデー床板破損部分３ヶ所張替加工,28000.0,3,84000.0,床板破損分３ヶ所張替,,,,,,,
103,21111323-1,1,1,ウィングシート補修 破れ分シート貼付コーキング止め6か所,補修・貼付,ウィングシート,,ウィングシート破れ部分補修シート貼付コーキング止め6か所,14000.0,1,14000.0,破れ分シート貼付コーキング止め6か所,,,,,,,
104,21111324-1,1,1,外エアタンク取替 ドレインコック,取替,エアタンク,外,エアタンクドレインコック取替、エアーホース取り外し,,1,,ドレインコック,,,,,,,
105,21111324-1,1,2,外エアーホース取替 取りし,取替,エアーホース,外,エアタンクドレインコック取替、エアーホース取り外し,,1,,取りし,,,,,,,
106,21111325-1,1,1,左アウトリガー付替 脱着え,付替・脱着,アウトリガー,左,左アウトリガー脱着付替え,12000.0,1,12000.0,脱着え,,,,,,,
107,21111325-1,1,1,アウトリガーブラケット曲がり直し,曲がり直し,アウトリガーブラケット,,アウトリガーブラケット曲がり直し,22000.0,1,22000.0,,,,,,,,
108,21111325-1,3,1,左突っ張りステー取替 アウトリガー、,取替,突っ張りステー,左,左アウトリガー突っ張りステー取替、,6000.0,1,6000.0,アウトリガー、,,,,,,,
109,21111325-1,4,1,アウトリガー曲がり直し フレーム取り付け,曲がり直し,アウトリガー,,フレームアウトリガー取り付け部曲がり直し,16000.0,1,16000.0,フレーム取り付け,,,,,,,
110,21111325-1,5,1,塗装 シルバー,塗装,,,シルバー塗装,4000.0,1,4000.0,シルバー,,,,,,,
111,21111326-1,1,1,左サイドガード切断修正取替 左２本,切断・修正・取替,サイドガード,左,左サイドガード２本、ステー一式取替、取付部分修正、マーカーランプステー切断鈑金取替加工溶接,,1,,左２本,,,,,,,
112,21111326-1,1,2,左ステー切断修正取替 一式取替,切断・修正・取替,ステー,左,左サイドガード２本、ステー一式取替、取付部分修正、マーカーランプステー切断鈑金取替加工溶接,,1,,一式取替,,,,,,,
113,21111326-1,1,3,左ステー一式取替切断 分修正,切断・修正・取替,ステー一式取替,左,左サイドガード２本、ステー一式取替、取付部分修正、マーカーランプステー切断鈑金取替加工溶接,,1,,分修正,,,,,,,
114,21111326-1,1,4,左マーカーランプステー切断修正取替 鈑金取替加工溶接,切断・修正・取替,マーカーランプステー,左,左サイドガード２本、ステー一式取替、取付部分修正、マーカーランプステー切断鈑金取替加工溶接,,1,,鈑金取替加工溶接,,,,,,,
115,21111326-1,2,1,燃料タンク修正取替取付,修正・取替・取付,燃料タンク,,燃料タンク、バンド２本、ブラケット２本取替、取付部分修正,,1,,,タンク修理一式,,,,,,
116,21111326-1,2,2,バンド修正取替取付 ２本,修正・取替・取付,バンド,,燃料タンク、バンド２本、ブラケット２本取替、取付部分修正,,1,,２本,タンク修理一式,,,,,,
117,21111326-1,2,3,ブラケット取替修正取付 ２本修正,取替・修正・取付,ブラケット,,燃料タンク、バンド２本、ブラケット２本取替、取付部分修正,,1,,２本修正,タンク修理一式,,,,,,
118,21111326-1,2,4,取付部修正取替取付 分,修正・取替・取付,,取付部,燃料タンク、バンド２本、ブラケット２本取替、取付部分修正,,1,,分,タンク修理一式,,,,,,
119,21111326-1,3,1,左アルミ縞板加工 躍場鈑金取付,加工・取付・鈑金,アルミ縞板,左,躍場左アルミ縞板鈑金取付加工,15000.0,1,15000.0,躍場鈑金取付,,,,,,,
120,21111326-1,4,1,左フェンダーブラケット曲がり直し 左２本取付フェンダー２枚取替加工,曲がり直し・取替・取付,フェンダーブラケット,左,左リアフェンダーブラケット２本曲がり直し取付フェンダー２枚取替、アーチゴム取替加工,,1,,左２本取付フェンダー２枚取替加工,,,,,,,
121,21111326-1,4,2,左アーチゴム加工曲がり直し取替 取替,加工・曲がり直し・取替,アーチゴム,左,左リアフェンダーブラケット２本曲がり直し取付フェンダー２枚取替、アーチゴム取替加工,,1,,取替,,,,,,,
122,21111326-1,5,1,左テールランプ脱着曲がり直し取付 取付,脱着・曲がり直し・取付,テールランプ,左,左テールランプ脱着、反射板脱着曲がり直し、取付部分鈑金,,1,,取付,,,,,,,
123,21111326-1,5,2,左反射板曲がり直し 脱着取付,曲がり直し・取付・脱着,反射板,左,左テールランプ脱着、反射板脱着曲がり直し、取付部分鈑金,,1,,脱着取付,,,,,,,
124,21111326-1,5,3,左テールランプ脱着取付曲がり直し脱着 部分鈑金,取付・曲がり直し・脱着,テールランプ脱着,左,左テールランプ脱着、反射板脱着曲がり直し、取付部分鈑金,,1,,部分鈑金,,,,,,,
125,21111326-1,6,1,塗装 作業,塗装・作業,,,作業部塗装,10000.0,1,10000.0,作業,,,,,,,
126,21111327-1,1,1,左タイヤハウスカバー修正 脱着,修正・脱着,タイヤハウスカバー,左,左タイヤハウスカバー脱着修正,4500.0,1,4500.0,脱着,,,,,,,
127,21111327-1,2,1,左アッパーステップ修正脱着,修正・脱着,アッパーステップ,左,左アッパーステップ、ステップウォール脱着修正,,1,,,修理一式,,,,,,
